,Title,List Author,Author(s),Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,id
7,The Espionage Act and National Security Whistleblowing after Garcetti [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","American University Law Review , Vol. 57, Issue 5 (June 2008), pp. 1531-1546",na,26,na,40,na,6688
8,"State Law, the Westfall Act, and the Nature of the Bivens Question [article]",Stephen I. Vladeck,"Vazquez, Carlos M. (Cited 1530 times); Vladeck, Stephen I. (Cited 793 times)","University of Pennsylvania Law Review, Vol. 161, Issue 2 (January 2013), pp. 509-584",161 U. Pa. L. Rev. 509 (January 2013),26,3,28,na,6688
9,Suspension Clause as a Structural Right [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","University of Miami Law Review, Vol. 62, Issue 2 (January 2008), pp. 275-306",na,25,na,10,na,6688
10,The New National Security Canon [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","American University Law Review, Vol. 61, Issue 5 (June 2012), pp. 1295-1330",na,24,2,10,na,6688
11,Non-Self-Executing Treaties and the Suspension Clause after St. Cyr [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Yale Law Journal, Vol. 113, Issue 8 (June 2004), pp. 2007-2014",na,20,na,4,na,6688
12,"The Long War, the Federal Courts, and the Necessity/Legality Paradox [reviews]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","University of Richmond Law Review, Vol. 43, Issue 3 (March 2009), pp. 893-926",na,19,na,4,na,6688
13,National Security and Bivens after Iqbal [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 255-278",na,19,na,10,na,6688
14,A Small Problem of Precedent: 18 U.S.C. 4001(a) and the Detention of U.S. Citizen Enemy Combatants [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Yale Law Journal, Vol. 112, Issue 4 (January 2003), pp. 961-[ii]",na,18,na,9,na,6688
15,States' Rights and State Standing [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","University of Richmond Law Review, Vol. 46, Issue 3 (March 2012), pp. 845-876",na,16,1,17,na,6688
16,"AEDPA, Saucier, and the Stronger Case for Rights-First Constitutional Adjudication [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Seattle University Law Review, Vol. 32, Issue 3 (Spring 2009), pp. 595-616",na,16,3,4,na,6688
17,The Exceptionalism of Foreign Relations Normalization [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Harvard Law Review Forum, Vol. 128, pp. 322-330",128 Harv. L. Rev. F. 322 (2014-2015),15,na,16,na,6688
18,Military Courts and Article III [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Georgetown Law Journal, Vol. 103, Issue 4 (April 2015), pp. 933-1002",103 Geo. L.J. 933 (2014-2015),15,na,29,na,6688
19,Terrorism Trials and the Article III Courts after Abu Ali [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Texas Law Review, Vol. 88, Issue 7 (June 2010), pp. 1501-1532",na,15,na,21,na,6688
20,The Passive-Aggressive Virtues [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Columbia Law Review Sidebar, Vol. 111, pp. 122-140",111 Colum. L. Rev. Sidebar 122 (2011),14,na,12,na,6688
21,Inchoate Liability and the Espionage Act: The Statutory Framework and the Freedom of the Press [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Harvard Law & Policy Review, Vol. 1, Issue 1 (Winter 2007), pp. 219-238",na,14,na,33,na,6688
22,The Laws of War as a Constitutional Limit on Military Jurisdiction [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law & Policy, Vol. 4, Issue 2 (2010), pp. 295-342",4 J. Nat'l Sec. L. & Pol'y 295 (2010),14,na,5,na,6688
23,Foreign Affairs Originalism in Youngstown's Shadow [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Saint Louis University Law Journal, Vol. 53, Issue 1 (Fall 2008), pp. 29-38",na,13,na,4,na,6688
24,The Case against National Security Courts [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Willamette Law Review, Vol. 45, Issue 3 (Spring 2009), pp. 505-526",na,13,na,19,na,6688
25,The Increasingly Unflagging Obligation: Federal Jurisdiction after Saudi Basic and Anna Nicole [notes],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Tulsa Law Review, Vol. 42, Issue 3 (Spring 2007), pp. 553-578",na,13,na,3,na,6688
26,The FISA Court and Article III [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Washington and Lee Law Review, Vol. 72, Issue 3 (Summer 2015), pp. 1161-1180",na,12,na,41,na,6688
27,"The Field Theory: Martial Law, the Suspension Power, and the Insurrection Act [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Temple Law Review, Vol. 80, Issue 2 (Summer 2007), pp. 391-440",80 Temp. L. Rev. 391 (Summer 2007),12,na,19,na,6688
28,"Enemy Aliens, Enemy Property, and Access to the Courts [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Lewis & Clark Law Review, Vol. 11, Issue 4 (Winter 2007), pp. 963-996",na,10,na,9,na,6688
29,The Problem of Jurisdictional Non-Precedent [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Tulsa Law Review, Vol. 44, Issue 3 (Spring 2009), pp. 587-616",na,10,na,2,na,6688
30,"The Unreviewable Executive: Kiyemba, Maqaleh, and the Obama Administration [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Constitutional Commentary, Vol. 26, Issue 3 (Summer 2010), pp. 603-624",na,9,na,4,na,6688
31,Big Data before and after Snowden [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law and Policy, Vol. 7, Issue 2 (2014), pp. 333-340",7 J. Nat'l Sec. L. & Pol'y 333 (2014),9,na,56,na,6688
32,Common-Law Habeas and the Separation of Powers [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Iowa Law Review Bulletin, Vol. 95, pp. 39-54",na,8,1,3,na,6688
33,After the AUMF [article],Stephen I. Vladeck,"Daskal, Jennifer (Cited 158 times); Vladeck, Stephen I. (Cited 793 times)","Harvard National Security Journal, Vol. 5, Issue 1 (2014), pp. 115-146",5 Harv. Nat'l Sec. J. 115 (2014),7,na,69,na,6688
34,"The Supreme Court, the War on Terrorism, and the Separation of Powers [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Human Rights, Vol. 38, Issue 1 (Winter 2011), pp. 13-13",38 Hum. Rts. 13 (Winter 2011),7,na,8,na,6688
35,Targeted Killing and Judicial Review [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","George Washington Law Review Arguendo, Vol. 82, pp. 11-28",na,7,na,13,na,6688
36,The Calling Forth Clause and the Domestic Commander in Chief [notes],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Cardozo Law Review, Vol. 29, Issue 3 (January 2008), pp. 1091-1108",na,6,na,11,na,6688
37,Normalizing Guantanamo [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","American Criminal Law Review , Vol. 48, Issue 4 (Fall 2011), pp. 1547-1572",na,6,na,13,na,6688
38,Detention after the AUMF [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Fordham Law Review, Vol. 82, Issue 5 (April 2014), pp. 2189-2208",na,6,na,42,na,6688
39,"Democratic Competence, Constitutional Disorder, and the Freedom of the Press [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Washington Law Review, Vol. 87, Issue 2 (June 2012), pp. 529-548",na,6,na,12,na,6688
40,The Demise of Merits-Based Adjudication in Post-9/11 National Security Litigation [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Drake Law Review, Vol. 64, Issue 4 (2016), pp. 1035-1090",64 Drake L. Rev. 1035 (2016),5,na,14,na,6688
41,Insular Thinking about Habeas [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Iowa Law Review Bulletin, Vol. 97, pp. 16-23",na,5,na,3,na,6688
42,"Habeas Corpus, Alternative Remedies, and the Myth of Swain v. Pressley [article]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Roger Williams University Law Review, Vol. 13, Issue 2 (Spring 2008), pp. 411-442",na,5,na,2,na,6688
43,The Constitutional Right to Collateral Post-Conviction Review [article],Stephen I. Vladeck,"Vazquez, Carlos M. (Cited 1530 times); Vladeck, Stephen I. (Cited 793 times)","Virginia Law Review, Vol. 103, Issue 5 (September 2017), pp. 905-960",103 Va. L. Rev. 905 (2017),5,na,26,na,6688
44,Foreword: National Security's Distortion Effects [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Western New England Law Review, Vol. 32, Issue 2 (2010), pp. 285-294",na,5,na,3,na,6688
45,Standing and Secret Surveillance [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","I/S: A Journal of Law and Policy for the Information Society, Vol. 10, Issue 2 (2014), pp. 551-580",10 ISJLP 551 (2014-2015),4,na,6,na,6688
46,Ludecke's Lengthening Shadow: The Disturbing Prospect of War without End [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law & Policy, Vol. 2, Issue 1 (2006), pp. 53-110",2 J. Nat'l Sec. L. & Pol'y 53 (2006-2008),4,na,4,na,6688
47,War and Justiciability [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Suffolk University Law Review, Vol. 49, Issue 1 (2016), pp. 47-60",49 Suffolk U. L. Rev. 47 (2016),4,na,17,na,6688
48,Terrorism and International Criminal Law after the Military Commissions Acts [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Santa Clara Journal of International Law, Vol. 8, Issue 1 (2010), pp. 101-114",8 Santa Clara J. Int'l L. 101 (2010),3,na,6,na,6688
49,Terrorism Prosecutions and the Problem of Constitutional Cross-Ruffing [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Cardozo Law Review, Vol. 36, Issue 2 (December 2014), pp. 709-730",na,2,na,2,na,6688
50,"Habeas Corpus, Due Process, and Extradition [comments]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Cornell Law Review Online, Vol. 98, pp. 20-34",na,2,na,5,na,6688
51,State Sovereign Immunity and the Roberts Court [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Charleston Law Review, Vol. 5, Issue 1 (Fall 2010), pp. 99-132",5 Charleston L. Rev. 99 (2010-2011),2,na,3,na,6688
52,Using the Supreme Court's Original Habeas Jurisdiction to Make New Rules Retroactive [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Federal Sentencing Reporter, Vol. 28, Issue 3 (February 2016), pp. 225-232",na,2,na,na,na,6688
53,Introductory Note [notes],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","International Legal Materials, Vol. 47, Issue 5 (September 2008), pp. 705-722",na,2,na,na,na,6688
54,Targeted Killing and Judicial Review [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","George Washington Law Review, Vol. 82, Special Issue (2014), pp. 11-29",na,1,na,9,na,6688
55,Re-Rethinking the Prize Cases: Some Remarks in Response to Professor Lee [comments],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Saint Louis University Law Journal, Vol. 53, Issue 1 (Fall 2008), pp. 85-[ii]",na,1,na,2,na,6688
56,Why Klein (Still) Matters: Congressional Deception and the War on Terrorism [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law & Policy, Vol. 5, Issue 1 (2011), pp. 251-262",5 J. Nat'l Sec. L. & Pol'y 251 (2011-2012),1,na,3,na,6688
57,A New Paradigm of Leaking [comments],Stephen I. Vladeck,"Abdo, Alex (Cited 3 times); Cole, David (Cited 2204 times); Ellard, George (Cited 31 times); Wainstein, Kenneth (Cited 1 times); Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law and Policy, Vol. 8, Issue 1 (2015), pp. 5-32",na,1,na,8,na,6688
58,Convicted Terrorists: Sentencing Considerations and Their Policy Implications [article],Stephen I. Vladeck,"Baltes, Joanna (Cited 1 times); Greenberg, Karen J. (Cited 1 times); Lee, Gerarld Bruce (Cited 1 times); Reagan, Robert Timothy (Cited 47 times); Vladeck, Stephen I. (Cited 793 times)","Journal of National Security Law and Policy, Vol. 8, Issue 2 (2016), pp. 347-[iv]",na,1,na,8,na,6688
59,"The Supreme Court, Original Habeas, and the Paradoxical Virtue of Obscurity [comments]",Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Virginia Law Review in Brief, Vol. 97, pp. 31-40",na,1,na,2,na,6688
60,Unlawful Command Influence and the President's Quasi-Personal Capacity [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Texas Law Review Online, Vol. 96, pp. 35-41",na,1,na,12,na,6688
61,That's So Six Months Ago: Challenges to Student Scholarship in the Age of Blogging,Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)",na,"Vladeck, Stephen I. (Cited 793 times)",na,na,na,na,6688
62,The Bivens Term: Why the Supreme Court Should Reinvigorate Damages Suits against Federal Officers [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Advance: The Journal of the ACS Issue Briefs, Vol. 11, pp. 135-142",11 Advance 135 (2017),na,na,21,na,6688
63,Trying Terrorism Suspects in Article III Courts: The Lessons of United States v. Abu Ali [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Advance: The Journal of the ACS Issue Briefs, Vol. 4, Issue 1 (2010), pp. 123-138",4 Advance 123 (2010),na,na,1,na,6688
64,The Torture Report and the Accountability Gap [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Georgetown Journal of International Affairs, Vol. 16, Issue 2 (Summer/Fall 2015), pp. 174-182",na,na,na,10,na,6688
65,Military Officers and the Civil Office Ban [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Indiana Law Journal, Vol. 93, Issue 1 (Winter 2018), pp. 241-252",na,na,na,23,na,6688
66,Foreword [comments],Stephen I. Vladeck,"Vladeck, Stephen (Cited 793 times)","William Mitchell Law Review , Vol. 34, Issue 5 (2008), pp. 5001-5002",na,na,na,na,na,6688
67,Is National Security Law Inherently Paradoxical [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","National Security Law Brief, Vol. 1, pp. 11-18",1 Nat'l Sec. L. Brief 11 (2010),na,na,8,na,6688
68,On Jurisdicitonal Elephants and Kangaroo Courts [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Northwestern University Law Review Colloquy, Vol. 103, pp. 172-184",103 Nw. L. Rev. Colloquy 172 (2008-2009),na,na,2,na,6688
69,The Wars of the Judges [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Washington Law Review Online, Vol. 92, Issue 1 (2017), pp. 1-12",92 Wash. L. Rev. Online 1 (2017),na,na,7,na,6688
70,Douglas and the Fate of Ex Parte Young [article],Stephen I. Vladeck,"Vladeck, Stephen I. (Cited 793 times)","Yale Law Journal Forum, Vol. 122, pp. 13-18",122 Yale L.J. F. 13 (2012-2013),na,na,3,na,6688
0,Judicial Specialization and the Functional Case for Non-Article III Courts [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2011, pp. [29]-[31]",na,na,na,na,na,1697
1,"Federal Crimes, State Courts, and Palmore [reviews]",Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2012, pp. [67]-[69]",na,na,na,na,na,1697
2,Appealing to Justice [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2014, pp. [219]-[221]",na,na,na,na,na,1697
3,The Keepers of the Federal Courts Canon [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2015, pp. [155]-[157]",na,na,na,na,na,1697
4,"The Perils of State Standing, Revisited [reviews]",Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [52]-[55]",na,na,na,na,na,1697
5,Bringing in the Jury [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2016, pp. [385]-[386]",na,na,na,na,na,1697
6,What Abbasi Should Have Said [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2017, pp. 1-3",na,na,na,7,na,1697
7,Why Military Justice Doesn't get Enough Academic Attention [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-2",na,na,na,6,na,1697
8,The National Security Courts We Already Have [reviews],Steve Vladeck,"Vladeck, Steve","Jotwell: The Journal of Things We Like (Lots), Vol. 2013, pp. [93]-[94]",na,na,na,na,na,1697
0,A Comparative Study of the Jewish and the United States Constitutional Law of Capital Punishment [article],Steven Davidoff,"Davidoff, Steven (Cited 6 times)","ISLA Journal of International & Comparative Law, Vol. 3, Issue 1 (Fall 1996), pp. 93-118",na,6,na,12,na,1720
1,"Estudio Comparativo de la Ley Judaica y la Ley Constitucional de los Estados Unidos Sobre la Pena Capital, Un [article]",Steven Davidoff,"Davidoff, Steven (Cited 6 times)","ISLA Journal of International & Comparative Law, Vol. 3, Issue 1 (Fall 1996), pp. 307-334",na,na,na,3,na,1720
0,Regulation by Deal: The Government's Response to the Financial Crisis [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Zaring, David (Cited 1109 times)","Administrative Law Review , Vol. 61, Issue 3 (Summer 2009), pp. 463-542",61 Admin. L. Rev. 463 (2009),123,6,133,na,1720
1,Fairness Opinions [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","American University Law Review, Vol. 55, Issue 6 (August 2006), pp. 1557-1626",55 Am. U. L. Rev. 1557 (2005-2006),34,3,34,na,1720
2,Limits of Disclosure [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Hill, Claire A. (Cited 938 times)","Seattle University Law Review, Vol. 36, Issue 2 (Winter 2013), pp. 599-638",na,31,na,19,na,1720
3,Regulating Listings in a Global Market [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","North Carolina Law Review, Vol. 86, Issue 1 (December 2007), pp. 89-162",86 N.C. L. Rev. 89 (2007-2008),28,na,50,na,1720
4,Black Market Capital [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Columbia Business Law Review, Vol. 2008, Issue 1 (2008), pp. 172-268",2008 Colum. Bus. L. Rev. 172 (2008),25,na,13,na,1720
5,The Failure of Private Equity [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Southern California Law Review, Vol. 82, Issue 3 (March 2009), pp. 481-546",82 S. Cal. L. Rev. 481 (2008-2009),24,2,69,na,1720
6,Paradigm Shift: Federal Securities Regulation in the New Millennium [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Brooklyn Journal of Corporate, Financial & Commercial Law, Vol. 2, Issue 2 (Spring 2008), pp. 339-368",2 Brook. J. Corp. Fin. & Com. L. 339 (2007-2008),22,na,22,na,1720
7,The SEC and the Failure of Federal Takeover Regulation [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Florida State University Law Review, Vol. 34, Issue 2 (Winter 2007), pp. 211-270",34 Fla. St. U. L. Rev. 211 (2006-2007),22,na,11,na,1720
8,A Case Study: Air Products v. Airgas and the Value of Strategic Judicial Decision-Making [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Columbia Business Law Review, Vol. 2012, Issue 2 (2012), pp. 502-552",2012 Colum. Bus. L. Rev. 502 (2012),17,na,13,na,1720
9,Delaware's Competitive Reach [article],Steven M. Davidoff,"Cain, Matthew D. (Cited 89 times); Davidoff, Steven M. (Cited 412 times)","Journal of Empirical Legal Studies, Vol. 9, Issue 1 (March 2012), pp. 92-128",9 J. Empirical Legal Stud. 92 (2012),15,na,16,na,1720
10,Uncomfortable Embrace: Federal Corporate Ownership in the Midst of the Financial Crisis [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Minnesota Law Review, Vol. 95, Issue 5 (2011), pp. 1733-1778",95 Minn. L. Rev. 1733 (2010-2011),15,na,8,na,1720
11,"The SEC v. Goldman Sachs: Reputation, Trust, and Fiduciary Duties in Investment Banking [article]",Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Morrison, Alan D. (Cited 19 times); Wilhelm, William J. Jr. (Cited 19 times)","Journal of Corporation Law, Vol. 37, Issue 3 (Spring 2012), pp. 529-554",37 J. Corp. L. 529 (2011-2012),14,1,54,na,1720
12,Lock-Up Creep [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Sautter, Christina M. (Cited 63 times)","Journal of Corporation Law, Vol. 38, Issue 4 (Summer 2013), pp. 681-732",38 J. Corp. L. 681 (Summer 2013),13,na,22,na,1720
13,Rhetoric and Reality: A Historical Perspective on the Regulation of Foreign Private Issuers [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","University of Cincinnati Law Review, Vol. 79, Issue 2 (Winter 2010), pp. 619-650",na,9,na,5,na,1720
14,Form over Substance - The Value of Corporate Process and Management Buy-Outs [article],Steven M. Davidoff,"Cain, Matthew D. (Cited 89 times); Davidoff, Steven M. (Cited 412 times)","Delaware Journal of Corporate Law, Vol. 36, Issue 3 (2011), pp. 849-902",na,9,2,104,na,1720
15,Do outside Directors Face Labor Market Consequences - a Natural Experiment from the Financial Crisis [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Lund, Andrew C. W. (Cited 75 times); Schonlau, Robert (Cited 4 times)","Harvard Business Law Review, Vol. 4, Issue 1 (Spring 2014), pp. 53-84",4 Harv. Bus. L. Rev. 53 (2014),3,na,27,na,1720
16,Section 632: An Expanded Basis of Federal Jurisdiction for National Banks [article],Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times)","Banking Law Journal, Vol. 123, Issue 8 (September 2006), pp. 687-705",123 Banking L.J. 687 (2006),2,3,na,na,1720
17,Getting U.S. Security Holders to the Party: the SEC's Cross-Border Release Five Years On [article],Steven M. Davidoff,"Carron, Brett A. (Cited 2 times); Davidoff, Steven M. (Cited 412 times)","University of Pennsylvania Journal of International Economic Law, Vol. 26, Issue 3 (Fall 2005), pp. 455-512",26 U. Pa. J. Int'l Econ. L. 455 (2005),2,na,8,na,1720
18,"Irreconcilable Differences: Director, Manager and Shareholder Conflicts in Takeover Transactions [comments]",Steven M. Davidoff,"Davidoff, Steven M. (Cited 412 times); Gentile, Caroline M. (Cited 100 times); Regan, Paul L. (Cited 78 times)","Delaware Journal of Corporate Law, Vol. 36, Issue 3 (2011), pp. [iii]-[viii]",na,na,na,na,na,1720
0,Feminism in Yellowface [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","Harvard Journal of Law and Gender, Vol. 38, Issue 2 (Summer 2015), pp. 235-268",38 Harv. Women's L.J. 235 (2015),6,na,32,na,8320
1,The Postcolonial Problem for Global Gay Rights [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","Boston University International Law Journal, Vol. 32, Issue 2 (Summer 2014), pp. 309-354",32 B.U. Int'l L.J. 309 (2014),5,na,36,na,8320
2,"Dreams of My Father, Prisoner for My Mother: The H-4 Nonimmigrant Visa Dilemma and the Need for an Immigration-Status Spousal Support [article]",Stewart Chang,"Chang, Stewart (Cited 21 times)","Asian Pacific American Law Journal, Vol. 19, Issue 1 (Fall 2013-Spring 2014), pp. 1-28",19 UCLA Asian Pac. Am. L.J. 1 (2013-2014),3,na,15,na,8320
3,Is Gay the New Asian: Marriage Equality and the Dawn of a New Model Minority [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","Asian American Law Journal, Vol. 23, pp. 5-38",23 Asian Am. L.J. 5 (2016),2,na,15,na,8320
4,Gay Liberation in the Illiberal State [article],Stewart Chang,"Chang, Stewart L. (Cited 21 times)","Washington International Law Journal, Vol. 24, Issue 1 (2015), pp. 1-46",24 Wash. Int'l L.J. 1 (2015),2,na,12,na,8320
5,Racial Upside: Deconstructing the Merits of Jeremy Lin's NBA Contract [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","Virginia Sports and Entertainment Law Journal, Vol. 14, Issue 1 (Fall 2014), pp. 1-12",14 Va. Sports & Ent. L.J. 1 (2014-2015),2,na,57,na,8320
6,Neoliberalism and the Good Daddies and Bad Daddies of Academic Freedom [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","FIU Law Review, Vol. 9, Issue 1 (Fall 2013), pp. 43-44",na,1,na,6,na,8320
7,"Our National Psychosis: Guns, Terror, and Hegemonic Masculinity [article]",Stewart Chang,"Chang, Stewart (Cited 21 times)","Harvard Civil Rights-Civil Liberties Law Review, Vol. 53, Issue 2 (Fall 2018), pp. 495-532",53 Harv. C.R.-C.L. L. Rev. 495 (2018),na,na,70,na,8320
8,Legacies of Exceptionalism and the Future of Gay Rights in Singapre [article],Stewart Chang,"Chang, Stewart (Cited 21 times)","Hong Kong Law Journal, Vol. 46, Issue 1 (2016), pp. 71-88",na,na,na,24,na,8320
9,Minors Crossing Borders [article],Stewart Chang,"Chang, Stewart (Cited 21 times); Woo Lee, Amy; Holton, Cynthia; Arthur, Craig","Whittier Journal of Child and Family Advocacy, Vol. 17, pp. 138-162",na,na,na,30,na,8320
10,"Panel: Employment Rights of LGBTI Workers, Remarks [article]",Stewart Chang,"Chang, Stewart (Cited 21 times)","Whittier Law Review, Vol. 36, Issue 3 (Spring 2015), pp. 395-400",na,na,na,2,na,8320
0,Cash Businesses and Tax Evasion [article],Susan Cleary Morse,"Morse, Susan Cleary (Cited 86 times); Karlinsky, Stewart (Cited 39 times); Bankman, Joseph (Cited 1008 times)","Stanford Law & Policy Review, Vol. 20, Issue 1 (2009), pp. 37-68",na,38,na,68,na,1313
1,The How and Why of the New Public Corporation Tax Shelter Compliance Norm [article],Susan Cleary Morse,"Morse, Susan Cleary (Cited 86 times)","Fordham Law Review, Vol. 75, Issue 2 (November 2006), pp. 961-1018",75 Fordham L. Rev. 961 (November 2006),29,na,15,na,1313
2,Using Salience and Influence to Narrow the Tax Gap [article],Susan Cleary Morse,"Morse, Susan Cleary (Cited 86 times)","Loyola University Chicago Law Journal, Vol. 40, Issue 3 (Spring 2009), pp. 483-530",40 Loy. U. Chi. L.J. 483 (2008-2009),19,na,10,na,1313
0,"Soul for Sale: An Empirical Study of Associate Satisfaction, Law Firm Culture, and the Effects of Billable Hour Requirements [article]",Susan Fortney,"Fortney, Susan Saab (Cited 455 times)","UMKC Law Review, Vol. 69, Issue 2 (Winter 2000), pp. 239-310",69 UMKC L. Rev. 239 (2000-2001),81,na,73,na,5844
1,Seeking Shelter in the Minefield of Unintended Consequences--The Traps of Limited Liability Law Firms [article],Susan Fortney,"Fortney, Susan Saab (Cited 455 times)","Washington and Lee Law Review, Vol. 54, Issue 2 (1997), pp. 717-768",54 Wash. & Lee L. Rev. 717 (1997),52,na,9,na,5844
