Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
"Genealogies of Risk: Searching for Safety, 1930s-1970s [article]",William Boyd,"Boyd, William (Cited 183 times)",,"Ecology Law Quarterly, Vol. 39, Issue 4 (2012), pp. 895-988",39 Ecology L.Q. 895 (2012),11,na,11,"Legislation, Science and Technology, Administration Law, Environment, Health, Regulation, Criminal Law, Judges, Law Enforcement",301.0
Controlling Toxic Harms: The Struggle Over Dioxin Contamination in the Pulp and Paper Industry [notes],William Boyd,"Boyd, William (Cited 183 times)",,"Stanford Environmental Law Journal, Vol. 21, Issue 2 (2002), pp. 345-420",21 Stan. Envtl. L.J. 345 (2002),9,na,4,"Industry, Regulation, Water, Science and Technology",301.0
The Curious Case of Greening in Carbon Markets [article],William Boyd,"Boyd, William (Cited 183 times); Salzman, James (Cited 1306 times)",,"Environmental Law, Vol. 41, Issue 1 (Winter 2011), pp. 73-94",41 Envtl. L. 73 (2011),4,na,12,"International Law, Environment, State and Local Government Law",301.0
"Just Price, Public Utility, and the Long History of Economic Regulation in America [comments]",William Boyd,"Boyd, William (Cited 183 times)",,"Yale Journal on Regulation, Vol. 35, Issue 3 (2018), pp. 721-778",35 Yale J. on Reg. 721 (2018),3,na,43,"History, Regulation, States, Trusts",301.0
"Environmental Law, Big Data, and the Torrent of Sigularities [article]",William Boyd,"Boyd, William (Cited 183 times)",,"UCLA Law Review Discourse, Vol. 64, pp. 544-570",64 UCLA L. Rev. Discourse 544 (2016-2017),1,na,23,"Environmental Law, Government, Intellectual Property, International Trade, Property, Health",301.0
The Chances of Establishing Non-Paternity by Blood-Grouping Tests [article],William Boyd,"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 183 times)",,"American Journal of Police Science, Vol. 1, Issue 2 (March-April 1930), pp. 121-124",1 Am. J. Police Sci. 121 (1930),1,na,na,"Blood, Paternity, Evidence",301.0
"Chances of Establishing Non-Paternity by Blood-Grouping Tests, The [article]",William Boyd,"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 183 times)",,"Journal of the American Institute of Criminal Law and Criminology , Vol. 20, Issue 3 (November 1929), pp. 360-363",20 Am. Inst. Crim. L. & Criminology 360 (1929-1930),1,na,1,"Blood, Paternity, Evidence",301.0
Introduction [comments],William Boyd,"Boyd, William (Cited 183 times); Butkin, Robert",,"Environment, Energy, and Resources Law: The Year in Review, Vol. 2017, pp. xvii-xvii",2017 Env't. Energy & Resources L.: Year Rev. xvii (2017),na,na,na,"Privacy, States",301.0
Festschirift in Honor of Professor Lesley McAllister [notes],William Boyd,"Frank, Richard (Cited 2 times); Lin, Albert (Cited 5 times); Sunder, Madhavi (Cited 802 times); Lobel, Orly (Cited 1231 times); Boyd, William (Cited 183 times); van Rooij, Benjamin (Cited 23 times); Proenca, Luis Roberto; Short, Jodi; Rodriguez, Daniel B. (Cited 737 times); Kagan, Robert A. (Cited 809 times)",,"Environs: Environmental Law and Policy Journal, Vol. 41, Issue 2 (Spring 2018), pp. 157-194",41 Environs: Envtl. L. & Pol'y J. 157 (2017-2018),na,na,10,"Criminal Law and Procedure, Legal Profession, Estate Planning",301.0
Forensic Immunology [article],William Boyd,"Boyd, William C. (Cited 183 times)",,"Journal of Criminal Law and Criminology, Vol. 36, Issue 6 , pp. 455-472",36 J. Crim. L. & Criminology 455 (1945-1946),na,na,na,"Blood, Identification, Liability",301.0
International Institutional Arrangements for Environment and Development: A Post-Rio Assessment [article],William Boyd,"Kimball, Lee A. (Cited 15 times); Boyd, William C. (Cited 183 times)",,"Review of European, Comparative & International Environmental Law, Vol. 1, Issue 3 (1992), pp. 295-306",1 Rev. Eur. Comp. & Int'l Envtl. L. 295 (1992),na,na,na,"Environment, Environmental Protection, Constitutional Law, International Law, Organizations, Mixed Legal Systems",301.0
Public Utility and the Low-Carbon Future [article],William Boyd,"Boyd, William (Cited 183 times)",,"UCLA Law Review, Vol. 61, Issue 6 (August 2014), pp. 1614-1711",61 UCLA L. Rev. 1614 (August 2014),49,na,57,"Economics, Environment, Health Law, Conservation, Damages",9213.0
Accidents of Federalism: ratemaking and Policy Innovation in Public Utility Law [article],William Boyd,"Boyd, William (Cited 183 times); Carlson, Ann E. (Cited 525 times)",,"UCLA Law Review, Vol. 63, Issue 4 (May 2016), pp. 810-893",63 UCLA L. Rev. 810 (May 2016),24,na,60,"Accidents, Environment, Federalism, Agency, Environmental Protection, Regulation, Administration Law",9213.0
"Climate Change, Fragmentation, and the Challenges of Global Environmental Law: Elements of a Post-Copenhagen Assemblage [article]",William Boyd,"Boyd, William (Cited 183 times)",,"University of Pennsylvania Journal of International Law, Vol. 32, Issue 2 (Winter 2010), pp. 457-550",32 U. Pa. J. Int'l L. 457 (2010-2011),24,na,56,"Climate Change, Environment, Environmental Law, Water, Human Rights, Practice and Procedure",9213.0
Ways of Seeing in Environmental Law: How Deforestation Became an Object of Climate Governance [article],William Boyd,"Boyd, William (Cited 183 times)",,"Ecology Law Quarterly, Vol. 37, Issue 3 (2010), pp. 843-916",37 Ecology L.Q. 843 (2010),22,na,42,"International Law, Jurisprudence, Natural Resources Law, Science and Technology, Comparative Law, Indian Law",9213.0
Blood-Grouping as a Test of Non-Paternity [article],William Boyd,"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 183 times)",,"Journal of the American Institute of Criminal Law and Criminology , Vol. 25, Issue 2 (July-August 1934), pp. 187-204",25 Am. Inst. Crim. L. & Criminology 187 (1934-1935),14,1,na,"Blood, Paternity",9213.0
Protecting the Evidentiary Value of Blood Group Determinations [article],William Boyd,"Boyd, William C. (Cited 183 times)",,"Southern California Law Review, Vol. 16, Issue 3 (March 1943), pp. 193-212",16 S. Cal. L. Rev. 193 (1942-1943),14,na,na,Blood,9213.0
"Genealogies of Risk: Searching for Safety, 1930s-1970s [article]",William Boyd,"Boyd, William (Cited 183 times)",,"Ecology Law Quarterly, Vol. 39, Issue 4 (2012), pp. 895-988",39 Ecology L.Q. 895 (2012),11,na,11,"Legislation, Science and Technology, Administration Law, Environment, Health, Regulation, Criminal Law, Judges, Law Enforcement",9213.0
Controlling Toxic Harms: The Struggle Over Dioxin Contamination in the Pulp and Paper Industry [notes],William Boyd,"Boyd, William (Cited 183 times)",,"Stanford Environmental Law Journal, Vol. 21, Issue 2 (2002), pp. 345-420",21 Stan. Envtl. L.J. 345 (2002),9,na,4,"Industry, Regulation, Water, Science and Technology",9213.0
The Curious Case of Greening in Carbon Markets [article],William Boyd,"Boyd, William (Cited 183 times); Salzman, James (Cited 1306 times)",,"Environmental Law, Vol. 41, Issue 1 (Winter 2011), pp. 73-94",41 Envtl. L. 73 (2011),4,na,12,"International Law, Environment, State and Local Government Law",9213.0
"Just Price, Public Utility, and the Long History of Economic Regulation in America [comments]",William Boyd,"Boyd, William (Cited 183 times)",,"Yale Journal on Regulation, Vol. 35, Issue 3 (2018), pp. 721-778",35 Yale J. on Reg. 721 (2018),3,na,43,"History, Regulation, States, Trusts",9213.0
"Environmental Law, Big Data, and the Torrent of Sigularities [article]",William Boyd,"Boyd, William (Cited 183 times)",,"UCLA Law Review Discourse, Vol. 64, pp. 544-570",64 UCLA L. Rev. Discourse 544 (2016-2017),1,na,23,"Environmental Law, Government, Intellectual Property, International Trade, Property, Health",9213.0
The Chances of Establishing Non-Paternity by Blood-Grouping Tests [article],William Boyd,"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 183 times)",,"American Journal of Police Science, Vol. 1, Issue 2 (March-April 1930), pp. 121-124",1 Am. J. Police Sci. 121 (1930),1,na,na,"Blood, Paternity, Evidence",9213.0
"Chances of Establishing Non-Paternity by Blood-Grouping Tests, The [article]",William Boyd,"Hooker, Sanford B. (Cited 16 times); Boyd, William C. (Cited 183 times)",,"Journal of the American Institute of Criminal Law and Criminology , Vol. 20, Issue 3 (November 1929), pp. 360-363",20 Am. Inst. Crim. L. & Criminology 360 (1929-1930),1,na,1,"Blood, Paternity, Evidence",9213.0
Introduction [comments],William Boyd,"Boyd, William (Cited 183 times); Butkin, Robert",,"Environment, Energy, and Resources Law: The Year in Review, Vol. 2017, pp. xvii-xvii",2017 Env't. Energy & Resources L.: Year Rev. xvii (2017),na,na,na,"Privacy, States",9213.0
Festschirift in Honor of Professor Lesley McAllister [notes],William Boyd,"Frank, Richard (Cited 2 times); Lin, Albert (Cited 5 times); Sunder, Madhavi (Cited 802 times); Lobel, Orly (Cited 1231 times); Boyd, William (Cited 183 times); van Rooij, Benjamin (Cited 23 times); Proenca, Luis Roberto; Short, Jodi; Rodriguez, Daniel B. (Cited 737 times); Kagan, Robert A. (Cited 809 times)",,"Environs: Environmental Law and Policy Journal, Vol. 41, Issue 2 (Spring 2018), pp. 157-194",41 Environs: Envtl. L. & Pol'y J. 157 (2017-2018),na,na,10,"Criminal Law and Procedure, Legal Profession, Estate Planning",9213.0
Forensic Immunology [article],William Boyd,"Boyd, William C. (Cited 183 times)",,"Journal of Criminal Law and Criminology, Vol. 36, Issue 6 , pp. 455-472",36 J. Crim. L. & Criminology 455 (1945-1946),na,na,na,"Blood, Identification, Liability",9213.0
International Institutional Arrangements for Environment and Development: A Post-Rio Assessment [article],William Boyd,"Kimball, Lee A. (Cited 15 times); Boyd, William C. (Cited 183 times)",,"Review of European, Comparative & International Environmental Law, Vol. 1, Issue 3 (1992), pp. 295-306",1 Rev. Eur. Comp. & Int'l Envtl. L. 295 (1992),na,na,na,"Environment, Environmental Protection, Constitutional Law, International Law, Organizations, Mixed Legal Systems",9213.0
Understanding the Presumption against Extraterritoriality [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Berkeley Journal of International Law, Vol. 16, Issue 1 (1998), pp. 85-125",16 Berkeley J. Int'l L. 85 (1998),151,5,51,"Jurisdiction, Bankruptcy",7272.0
The Historical Origins of the Alien Tort Statute: A Response to the Originalists [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 19, Issue 2 (Winter 1996), pp. 221-258",19 Hastings Int'l & Comp. L. Rev. 221 (1995-1996),123,na,26,"Evidence, Legal History, Aliens, Judiciary, Torture, International Law",7272.0
Extraterritoriality and Conflict-of-Laws Theory: An Argument for Judicial Unilaterlism [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Harvard International Law Journal, Vol. 39, Issue 1 (Winter 1998), pp. 101-170",39 Harv. Int'l. L. J. 101 (1998),103,2,76,"Conflict of Laws, Exterritoriality, Private International Law, Antitrust, Jurisdiction, Trade Regulation",7272.0
"Case for Punitive Damages in Contracts, The [article]",William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Duke Law Journal , Vol. 48, Issue 4 (February 1999), pp. 629-700",48 Duke L.J. 629 (February 1999),81,3,24,"Contracts, Damages, Punitive Damages, Remedies, United Nations, Civil Law",7272.0
The Constitutionality of the Alien Tort Statute: Some Observations on Text and Context [comments],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Virginia Journal of International Law, Vol. 42, Issue 2 (Winter 2002), pp. 687-712",42 Va. J. Int'l L. 687 (2001-2002),65,1,12,"Torts, International Law, States",7272.0
Breaking the Public Law Taboo [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Harvard International Law Journal, Vol. 43, Issue 1 (Winter 2002), pp. 161-236",43 Harv. Int'l L.J. 161 (2002),57,7,31,"Public Law, Conflict of Laws, International Law, International Trade, Private International Law, Comparative Law",7272.0
International Comity in American Law [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Columbia Law Review, Vol. 115, Issue 8 (December 2015), pp. 2071-2142",115 Colum. L. Rev. 2071 (2015),44,1,na,"Conflict of Laws, International Law, Jurisprudence, Trade Regulation",7272.0
Loewen v. United States: Trials and Errors under NAFTA Chapter Eleven [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"DePaul Law Review, Vol. 52, Issue 2 (Winter 2002), pp. 563-578",52 DePaul L. Rev. 563 (Winter 2002),33,na,11,"International Trade, States, Trials, Arbitration, Dispute Resolution",7272.0
National Courts and International Arbitration: Exhaustion of Remedies and Res Judicata under Chapter Eleven of NAFTA [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 23, Issue 3 (Spring-Summer 2000), pp. 357-384",23 Hastings Int'l & Comp. L. Rev. 357 (1999-2000),32,na,36,"Arbitration, Courts, International Arbitration, Remedies, Res Judicata, International Trade, Government",7272.0
Morrison's Effects Test [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Southwestern Law Review, Vol. 40, Issue 4 (2011), pp. 687-696",40 Sw. L. Rev. 687 (2010-2011),32,na,13,"Constitutional Law, Jurisdiction, Legislation, International Law",7272.0
Investor-State Dispute Settlement between Developed Countries: Reflections on the Australia-United States Free Trade Agreement [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Vanderbilt Journal of Transnational Law, Vol. 39, Issue 1 (January 2006), pp. 1-38",39 Vand. J. Transnat'l L. 1 (2006),31,na,48,"Dispute Resolution, States, International Trade, Jurisprudence, Regulation",7272.0
Bridging Erie: Customary International Law in the U.S. Legal System after Sosa v. Alvarez-Machain [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Tulsa Journal of Comparative & International Law, Vol. 12, Issue 1 (Fall 2004), pp. 87-108",12 Tulsa J. Comp. & Int'l L. 87 (Fall 2004),29,na,7,"International Law, Common Law, Courts, Federal Courts",7272.0
Congressional Control of Supreme Court Appellate Jurisdiction: Why the Original Jurisdiction Clause Suggests an Essential Role [notes],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Yale Law Journal, Vol. 100, Issue 4 (January 1991), pp. 1013-1032",100 Yale L.J. 1013 (January 1991),26,na,9,"Jurisdiction, Constitutional Law, Legal History, Marriage, Same-Sex Marriage",7272.0
Customary International Law and the Question of Legitimacy [comments],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Harvard Law Review Forum, Vol. 120, pp. 19-27",120 Harv. L. Rev. F. 19 (2007),24,na,11,"Corporations, Jurisdiction, International Law",7272.0
Teaching the CISG in Contracts [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Journal of Legal Education, Vol. 50, Issue 1 (March 2000), pp. 72-94",50 J. Legal Educ. 72 (2000),23,10,54,"Contracts, Courts, International Trade",7272.0
Which Torts in Violation of the Law of Nations [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 24, Issue 3 (Spring 2001), pp. 351-360",24 Hastings Int'l & Comp. L. Rev. 351 (Spring 2001),22,na,18,Torts,7272.0
Defining and Punishing Offenses Under Treaties [article],William S. Dodge,"Cleveland, Sarah H. (Cited 817 times); Dodge, William S. (Cited 1023 times)",,"Yale Law Journal, Vol. 124, Issue 7 (May 2015), pp. 2202-2285",124 Yale L. J. 2202 (2014-2015),20,3,35,"Treaties, Constitutional Law, Courts, Federal Courts, International Law, Federalism, Jurisdiction",7272.0
Alien Tort Litigation: The Road Not Taken [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Notre Dame Law Review, Vol. 89, Issue 4 (March 2014), pp. 1577-1608",89 Notre Dame L. Rev. 1577 (2013-2014),16,na,13,"Legal History, Torts, International Law, Jurisdiction",7272.0
The Helms-Burton Act and Transnational Legal Process [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 20, Issue 4 (Fall 1997), pp. 713-728",20 Hastings Int'l & Comp. L. Rev. 713 (1996-1997),15,na,19,"International Relations, International Trade, Cuba, Exterritoriality, International Law, States",7272.0
Antitrust and the Draft Hague Judgments Convention [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Law and Policy in International Business, Vol. 32, Issue 2 (2001), pp. 363-390",32 Law & Pol'y Int'l Bus. 363 (2000-2001),13,na,4,"Antitrust, International Law, Trade Regulation, Public Law, Commercial Law, Exports and Imports, International Relations, International Trade, Unfair Trade Practices",7272.0
Weighing the Listener's Interests: Justice Blackmun's Commercial Speech and Public Forum Opinions [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings Constitutional Law Quarterly, Vol. 26, Issue 1 (Fall 1998), pp. 165-218",26 Hastings Const. L.Q. 165 (1998-1999),10,na,2,"Commercial Speech, Communications Law, Judges",7272.0
Arbitration - NAFTA Chapter 11 - Relationship of Arbitral Tirbunals to Domestic Courts - Court Judgments as Measures - Denial of Justice - Requirement of Judicial Finality - Requirement of Continuous Nationality - Lack of Retrospective Effect [decisions],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"American Journal of International Law, Vol. 98, Issue 1 (January 2004), pp. 155-163",98 Am. J. Int'l L. 155 (2004),9,na,10,"Arbitration, Courts, Judgments, Obligations, International Trade, Remedies",7272.0
The Public-Private Distinction in the Conflict of Laws [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Duke Journal of Comparative & International Law, Vol. 18 , Issue 2 (Spring 2008), pp. 371-394",18 Duke J. Comp. & Int'l L. 371 (2007-2008),8,na,9,"Conflict of Laws, Judicial Review, Public Law, Age",7272.0
Corporate Liability under Customary International Law [comments],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Georgetown Journal of International Law, Vol. 43, Issue 4 (2012), pp. 1045-1052",43 Geo. J. Int'l L. 1045 (2011-2012),8,7,38,"Aliens, Corporations: Liability, Customary Law, Human Rights, Corporations, International Law, Torts",7272.0
An Economic Defense of Concurrent Antitrust Jurisdiction [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Texas International Law Journal, Vol. 38, Issue 1 (Winter 2003), pp. 27-40",38 Tex. Int'l L.J. 27 (2003),7,na,5,"Antitrust, Jurisdiction, Trade Regulation, Conflict of Laws, Exterritoriality, Private International Law",7272.0
Personal Jurisdiction and Aliens [article],William S. Dodge,"Dodge, William S. (Cited 1023 times); Dodson, Scott (Cited 600 times)",,"Michigan Law Review, Vol. 116, Issue 7 (May 2018), pp. 1205-1248",116 Mich. L. Rev. 1205 (2017-2018),6,na,57,"Constitutional Law, Jurisdiction, Criminal Law and Procedure",7272.0
Presumption against Extraterritoriality after Morrison [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"American Society of International Law Proceedings, Vol. 105, pp. 396-399",105 Am. Soc'y Int'l L. Proc. 396 (2011),5,na,4,"International Law, Rico, Securities, Jurisdiction",7272.0
Brief of Professors of Federal Jurisdiction and Legal History as Amici Curiae in Support of Respondents [notes],William S. Dodge,"Van Aelstyn, Nicholas W. (Cited 5 times); Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 28, Issue 1 (Fall 2004), pp. 99-120",28 Hastings Int'l & Comp. L. Rev. 99 (2004-2005),5,na,4,"History, Jurisdiction, Legal History, Torts, Evidence",7272.0
"Customary International Law, Change, and the Constitution [article]",William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Georgetown Law Journal, Vol. 106, Issue 6 (August 2018), pp. 1559-1592",106 Geo. L.J. 1559 (2017-2018),5,na,56,"Criminal Law and Procedure, Military, War and Peace, Constitutional Law, International Law",7272.0
After Sosa: The Future of Customary International Law in the United States [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Willamette Journal of International Law and Dispute Resolution, Vol. 17, Issue 1 (2009), pp. 21-48",17 Willamette J. Int'l L. & Dis. Res. 21 (2009),5,na,3,"International Law, States, Torts, Courts, Human Rights, Jurisdiction, Remedies",7272.0
The Presumption against Extraterritoriality in Two Steps [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"AJIL Unbound, Vol. 110, pp. 45-50",110 AJIL Unbound 45 (2016-2017),4,na,12,"Jurisdiction, Torts, International Law, Rico, Securities",7272.0
Introduction: Brief of Amici Curiae [comments],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 28, Issue 1 (Fall 2004), pp. 95-98",28 Hastings Int'l & Comp. L. Rev. 95 (2004-2005),3,na,1,"International Law, States, Human Rights, Human Rights Law, Tort Claims, Torture",7272.0
Foreign Official Immunity in the International Law Commission: The Meanings of Official Capacity [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"AJIL Unbound, Vol. 109, pp. 156-160",109 AJIL Unbound 156 (2015-2016),2,na,12,"International Law, Jurisdiction, Politics, Torts",7272.0
"Awards in Pope & Talbot, Inc. v. Government of Canada--Introduction [comments]",William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Hastings International and Comparative Law Review, Vol. 23, Issue 3 (Spring-Summer 2000), pp. 431-434",23 Hastings Int'l & Comp. L. Rev. 431 (1999-2000),2,na,7,"International Law, International Trade",7272.0
Chevron Deference and Extraterritorial Regulation [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"North Carolina Law Review, Vol. 95, Issue 4 (May 2017), pp. 911-974",95 N.C. L. Rev. 911 (2016-2017),2,na,45,"Administration Law, Fourteenth Amendment, International Law, Jurisdiction, Legislation",7272.0
Bond v. United States and Congress's Role in Implementing Treaties [article],William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"AJIL Unbound, Vol. 108, pp. 86-88",108 AJIL Unbound 86 (2014-2015),1,na,3,"International Law, President/Executive Department, Supreme Court of the United States, Constitutional Law",7272.0
Withdrawing from Customary International Law: Some Lessons from History,William S. Dodge,"Dodge, William S. (Cited 1023 times)",,na,120 Yale L.J. F. 15,na,na,na,na,7272.0
Corporate Liability under the US Alien Tort Statute: A Comment on Jesner v Arab Bank [notes] *new*,William S. Dodge,"Dodge, William S. (Cited 1023 times)",,"Business and Human Rights Journal, Vol. 4, Issue 1 (2019), pp. 131-138",Full Text Not Currently Available in HeinOnline,na,na,na,"Liability, States, Punishment, Congress, Courts, Human Rights",7272.0
Perspectives on the Restatement (Fourth) Project [comments],William S. Dodge,"Dodge, William S. (Cited 1023 times); Cleveland, Sarah (Cited 817 times); Stephan, Paul (Cited 1466 times); Koh, Harold Hongju (Cited 4679 times); Bellinger, John; McLachlan, Campbell (Cited 180 times)",,"Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 209-228",109 Am. Soc'y Int'l L. Proc. 209 (2015),na,na,5,"Constitutional Law, Politics, President/Executive Department, International Law, Treaties",7272.0
"Asymmetrical Regulation: Risk, Preemption, and the Floor/Ceiling Distinction [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"New York University Law Review, Vol. 82, Issue 6 (December 2007), pp. 1547-1619",82 N.Y.U. L. Rev. 1547 (2007),159,na,30,"Jurisdiction, Regulation, Federalism",6840.0
Recognizing the Regulatory Commons: A Theory of Regulatory Gaps [article],William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Iowa Law Review, Vol. 89, Issue 1 (October 2003), pp. 1-64",89 Iowa L. Rev. 1 (2003-2004),139,na,36,"Administration Law, Economics, Environment, Legislation, Politics, Oil and Gas, Oil, Gas and Mineral, Climate Change",6840.0
Legislative Record Review [article],William W. Buzbee,"Buzbee, William W. (Cited 1151 times); Schapiro, Robert A. (Cited 866 times)",,"Stanford Law Review, Vol. 54, Issue 1 (October 2001), pp. 87-162",54 Stan. L. Rev. 87 (2001-2002),111,na,12,"Administration Law, Legal Profession, Legislation, Congress, Constitutional Law, Statutes",6840.0
"Urban Sprawl, Federalism, and the Problem of Institutional Complexity [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Fordham Law Review, Vol. 68, Issue 1 (October 1999), pp. 57-136",68 Fordham L. Rev. 57 (1999-2000),109,na,33,"Federalism, Land Use Planning, Fair Housing, Housing, Law and Society",6840.0
The One-Congress Fiction in Statutory Interpretation [article],William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"University of Pennsylvania Law Review, Vol. 149, Issue 1 (November 2000), pp. 171-250",149 U. Pa. L. Rev. 171 (2000-2001),68,1,5,"Congress, Legislation, Statutory Interpretation, Administration Law",6840.0
Contextual Environmental Federalism [comments],William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"New York University Environmental Law Journal, Vol. 14, Issue 1 (2005), pp. 108-129",14 N.Y.U. Envtl. L.J. 108 (2005-2006),58,na,26,"Federalism, Brownfields",6840.0
Administrative Agency Intracircuit Nonacquiescence [notes],William W. Buzbee,"Buzbee, William Wade (Cited 1151 times)",,"Columbia Law Review, Vol. 85, Issue 3 (April 1985), pp. 582-610",85 Colum. L. Rev. 582 (April 1985),55,4,4,"Agency, Courts, Rule of Law, Social Security",6840.0
Unidimensional Federalism: Power and Perspective in Commerce Clause Adjudication [article],William W. Buzbee,"Schapiro, Robert A. (Cited 866 times); Buzbee, William W. (Cited 1151 times)",,"Cornell Law Review, Vol. 88, Issue 5 (July 2003), pp. 1199-1277",88 Cornell L. Rev. 1199 (2002-2003),51,na,11,"Commerce, Commerce Clause, Constitutional Law, Federalism, Jurisdiction, Congress, Endangered Species, Natural Resources Law, Economics",6840.0
"Brownfields, Environmental Federalism, and Institutional Determinism [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"William and Mary Environmental Law and Policy Review, Vol. 21, Issue 1 (Winter 1997), pp. 1-68",21 Wm. & Mary. Envtl. L. & Pol'y Rev. 1 (1997),47,na,18,"Brownfields, Federalism, Commercial Law, Liability, Redevelopment, Environmental Justice",6840.0
"Remembering Repose: Voluntary Contamination Cleanup Approvals, Incentives, and the Costs of Interminable Liability [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Minnesota Law Review, Vol. 80, Issue 1 (November 1995), pp. 35-122",80 Minn. L. Rev. 35 (1995-1996),47,na,2,"Costs, Hazardous Waste, Liability, Government, Legislation, States",6840.0
"Interaction's Promise: Preemption Policy Shifts, Risk Regulation, and Experimentalism Lessons [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Emory Law Journal , Vol. 57, Issue 1 (2007), pp. 145-166",57 Emory L.J. 145 (2007-2008),41,na,8,"Regulation, Jurisdiction, Constitutional Law, Environment",6840.0
"Expanding the Zone, Tilting the Field: Zone of Interests and Article III Standing Analysis after Bennett v. Spear [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Administrative Law Review, Vol. 49, Issue 4 (Fall 1997), pp. 763-824",49 Admin. L. Rev. 763 (1997),37,na,8,"Standing, Interest, Constitutional Law",6840.0
Standing and the Statutory Universe [article],William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Duke Environmental Law & Policy Forum, Vol. 11, Issue 2 (Spring 2001), pp. 247-286",11 Duke Envtl. L. & Pol'y F. 247 (Spring 2001),31,na,4,"Standing, Citizen Suit, Practice and Procedure, Common Law",6840.0
"Preemption Hard Look Review, Regulatory Interaction, and the Quest for Stewardship and Intergenerational Equity [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"George Washington Law Review, Vol. 77, Issues 5-6 (September 2009), pp. 1521-1581",77 Geo. Wash. L. Rev. 1521 (2008-2009),30,na,14,"Administration Law, Equity, Judges, Regulation, Age, Practice and Procedure, Standing",6840.0
Sprawl's Dynamics: A Comparative Institutional Analysis Critique [article],William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Wake Forest Law Review, Vol. 35, Issue 3 (Fall 2000), pp. 509-538",35 Wake Forest L. Rev. 509 (2000),30,na,3,"Administration Law, Land Use Planning, Banking, States, Takings",6840.0
"The Regulatory Fragmentation Continuum, Westway and the Challenges of Regional Growth [article]",William W. Buzbee,"Buzbee, William W. (Cited 1151 times)",,"Journal of Law & Politics, Vol. 21, Issues 2 & 3 (Spring-Summer 2005), pp. 323-364",21 J.L. & Pol. 323 (2005),23,na,8,"Administration Law, Land Use Planning, Environment, Courts",6840.0
