,First Name,Last Name,School,Fuzz 1,Fuzz 2,Fuzz 3,Name 1,Name 2,Name 3,School 1,School 2,School 3
461,Michelle A.,McKinley,Oregon ,67,67,65,Mitchell Kane,Michelle Kwon,Michelle Simon,New York University School of Law,University of Tennessee College of Law,Pace University Elisabeth Haub School of Law
462,Kim,McLaurin,Suffolk ,64,61,59,Denis McLaughlin,Sima Mirkin,Jennifer Laurin,Seton Hall University School of Law,"American University, Washington College of Law",The University of Texas School of Law
463,Willajeanne F.,McLean,Connecticut ,92,58,58,Willajeanne McLean,William McGeveran,William McGeveran,University of Connecticut School of Law,University of Minnesota Law School,University of Minnesota Law School
464,Teri,McMurtry-Chubb,Mercer ,51,51,50,Jacqueline McMurtrie,Jacqueline McMurtrie,Patricia McCubbin,University of Washington School of Law,University of Washington School of Law,Southern Illinois University School of Law
465,Sharon A.,Meadows,San Francisco ,67,57,53,Robyn Meadows,Sharon Rush,Charlton Copeland,Widener University Commonwealth Law School,University of Florida Fredric G. Levin College of Law,University of Miami School of Law
466,M. Isabel,Medina,Loyola New Orl.,58,56,55,Michael Madison,Isabelle Gunning,Michael Maben,University of Pittsburgh School of Law,Southwestern Law School,Indiana University Maurer School of Law
467,Salil K.,Mehra,Temple ,88,58,57,Salil Mehra,Sally Engle Merry,Daniel Klerman,"Temple University, James E. Beasley School of Law",New York University School of Law,University of Southern California Gould School of Law
468,Hiram A.,Melendez-Juarbe,Puerto Rico ,53,47,47,Lisa Alexander,Mark Alexander,James Shellenberger,Texas A&M University School of Law,Villanova University Charles Widger School of Law,"Temple University, James E. Beasley School of Law"
469,Michael A.,Middleton,Missouri ,71,70,69,Michael Higdon,Michael Millemann,Michael Mireles,University of Tennessee College of Law,University of Maryland Francis King Carey School of Law,"University of the Pacific, McGeorge School of Law"
470,Darrell A.H.,Miller,Duke ,85,62,61,Darrell Miller,Daniel Filler,Russell Miller,Duke University School of Law,Drexel University Thomas R. Kline School of Law,Washington and Lee University School of Law
471,Robert J.,Miller,Ariz. state ,90,71,69,Robert Miller,Robert Adler,Robert Merges,University of Iowa College of Law,"University of Utah, S. J. Quinney College of Law","University of California, Berkeley School of Law"
472,Teresa A.,Miller,Buffalo ,65,62,62,Geoffrey Miller,Robert Miller,Joe Miller,New York University School of Law,University of Iowa College of Law,University of Georgia School of Law
473,David,Min,Cal. Irvine ,86,80,76,David Millon,David Guinn,David Lipton,Washington and Lee University School of Law,Baylor University School of Law,"The Catholic University of America, Columbus School of Law"
474,S. David,Mitchell,Missouri ,69,69,69,J. David Bleich,J. David Bleich,David Millon,Benjamin N. Cardozo School of Law,Benjamin N. Cardozo School of Law,Washington and Lee University School of Law
475,Thomas W.,Mitchell,Texas A&M ,91,71,69,Thomas Mitchell,Thomas McDonnell,Thomas Merrill,Texas A&M University School of Law,Pace University Elisabeth Haub School of Law,Columbia Law School
476,Caryn R.,Mitchell-Munevar,New England Law Boston ,55,55,54,Mitchell Engler,Mitchell Engler,Gregory Mitchell,Benjamin N. Cardozo School of Law,Benjamin N. Cardozo School of Law,University of Virginia School of Law
477,Saira,Mohamed,UC Berkeley,61,61,58,Sarah Cole,Sara Beale,Salil Mehra,"The Ohio State University, Michael E. Moritz College of Law",Duke University School of Law,"Temple University, James E. Beasley School of Law"
478,Seema,Mohapatra,Ind. McKinney,57,54,53,Serena Mayeri,Salil Mehra,Stefano Moscato,University of Pennsylvania Law School,"Temple University, James E. Beasley School of Law","University of California, Hastings College of the Law"
479,Luz M.,Molina,Loyola New Orl.,54,52,52,Luke Milligan,Lauryn Gouldin,Lauren Collins,"University of Louisville, Louis D. Brandeis School of Law",Syracuse University College of Law,Cleveland-Marshall College of Law at Cleveland State University
480,Richard A.,Monette,Wisconsin ,91,73,69,Richard Monette,Richard Garnett,Richard Bonnie,University of Wisconsin Law School,Notre Dame Law School,University of Virginia School of Law
481,Margaret E.,Montoya,New Mexico ,69,67,67,Margaret Chon,Margaret Johns,Margaret Costello,Seattle University School of Law,"University of California, Davis, School of Law",University of Detroit Mercy School of Law
482,William J.,Moon,Maryland ,80,69,69,William Johnson,William Nelson,William Hutton,Saint Louis University School of Law,New York University School of Law,"University of California, Hastings College of the Law"
483,Martha D.,Moore,WMU-Cooley ,67,67,64,Martha Minow,Martha Minow,Michael Moore,Harvard Law School,Harvard Law School,University of Illinois College of Law
484,Jamelia N,Morgan,Connecticut ,65,65,65,Jennifer Morgan,Jennifer Morgan,James Van Nostrand,Indiana University Maurer School of Law,Indiana University Maurer School of Law,West Virginia University College of Law
485,Muriel,Morisey,Temple ,67,67,64,Michael Morrison,Michael Moore,Laurie Dore,Baylor University School of Law,University of Illinois College of Law,Drake University Law School
486,Hiroshi,Motomura,U.C.L.A. ,100,54,50,Hiroshi Motomura,John Moore,Mari Matsuda,"University of California, Los Angeles School of Law",University of Virginia School of Law,"University of Hawaii, William S. Richardson School of Law"
487,Allen R.,Moye,DePaul ,87,64,62,Allen Moye,Allen Snyder,Allen Rostron,DePaul University College of Law,University of San Diego School of Law,University of Missouri-Kansas City School of Law
488,Lateef,Mtima,Howard ,58,56,54,Kathleen Kim,Laurie Malman,Linda Fentiman,"Loyola Law School, Los Angeles",New York University School of Law,Pace University Elisabeth Haub School of Law
489,Kali N.,Murray,Marquette ,88,64,64,Kali Murray,Yxta Murray,Melissa Murray,Marquette University Law School,"Loyola Law School, Los Angeles",New York University School of Law
490,Melissa E.,Murray,New York Univ ,90,65,65,Melissa Murray,Melissa Jacoby,Melissa Breger,New York University School of Law,University of North Carolina School of Law,Albany Law School
491,Sharmila,Murthy,Suffolk ,62,62,62,Sean Murphy,Liam Murphy,Erin Murphy,The George Washington University Law School,New York University School of Law,New York University School of Law
492,Samuel K.,Murumba,Brooklyn ,90,65,64,Samuel Murumba,Samuel Freeman,Samuel Bray,Brooklyn Law School,University of Pennsylvania Law School,"University of California, Los Angeles School of Law"
493,Kimberly M.,Mutcherson,Rutgers ,93,93,65,Kimberly Mutcherson,Kimberly Mutcherson,Kimberly Ferzan,Rutgers Law School,Rutgers Law School,University of Virginia School of Law
494,Makau W.,Mutua,Buffalo ,57,57,54,Mark Wu,Mark Wu,Mari Matsuda,Harvard Law School,Harvard Law School,"University of Hawaii, William S. Richardson School of Law"
495,Luz Estella,Nagle,Stetson ,52,52,52,Russell Pearce,Russell Miller,Ethan Yale,Fordham University School of Law,Washington and Lee University School of Law,University of Virginia School of Law
496,Cynthia E.,Nance,Ark. Fayetteville,71,69,67,Cynthia Starnes,Cynthia Jones,Cynthia Nicoletti,Michigan State University College of Law,"American University, Washington College of Law",University of Virginia School of Law
497,Jyoti,Nanda,U.C.L.A. ,60,56,55,Ved Nanda,Cynthia Farina,Jill Hasday,University of Denver Sturm College of Law,Cornell Law School,University of Minnesota Law School
498,Ved P.,Nanda,Denver ,86,50,48,Ved Nanda,David Landau,Sachin Pandya,University of Denver Sturm College of Law,Florida State University College of Law,University of Connecticut School of Law
499,Marcia,Narine Weldon,Miami ,61,57,57,Mary Jane Angelo,Patricia Hansen,Marsha Garrison,University of Florida Fredric G. Levin College of Law,The University of Texas School of Law,Brooklyn Law School
500,Ranjana,Natarajan,Univ. of Texas ,55,55,55,Ganesh Sitaraman,Anna Mastroianni,Anna Mastroianni,Vanderbilt University Law School,University of Washington School of Law,University of Washington School of Law
501,Odeana R.,Neal,Baltimore ,54,54,50,Laura McNeal,Arden Rowell,Sara Beale,"University of Louisville, Louis D. Brandeis School of Law",University of Illinois College of Law,Duke University School of Law
502,Clanitra S,Nejdl,Northern Illinois ,52,52,52,Claudia Angelos,Claire Hill,Claire Hill,New York University School of Law,University of Minnesota Law School,University of Minnesota Law School
503,Nise,Nekheba,Florida A&M ,52,52,50,Paige Skiba,Neal Newman,Neil Netanel,Vanderbilt University Law School,Texas A&M University School of Law,"University of California, Los Angeles School of Law"
504,Lisa H.,Nicholson,Louisville ,90,59,58,Lisa Nicholson,Lisa Milot,Connie Nichols,"University of Louisville, Louis D. Brandeis School of Law",University of Georgia School of Law,Baylor University School of Law
505,Fernanda Giorgia,Nicola,American ,79,52,52,Fernanda Nicola,Fionnuala Ni Aolain,Fionnuala Ni Aolain,"American University, Washington College of Law",University of Minnesota Law School,University of Minnesota Law School
506,Donna L.,Nixon,Univ. of North Car. ,64,58,58,Donna Young,Donna Nagy,Donna Nagy,Albany Law School,Indiana University Maurer School of Law,Indiana University Maurer School of Law
507,Kathy S.,Northern,Ohio state ,90,62,61,Kathy Northern,Nat Stern,Katherine Porter,"The Ohio State University, Michael E. Moritz College of Law",Florida State University College of Law,"University of California, Irvine School of Law"
508,Kimberly J.,Norwood,Wash. St. Louis,91,63,63,Kimberly Norwood,Kimberly Yuracko,Kimberly Krawiec,Washington University in St. Louis School of Law,Northwestern University Pritzker School of Law,Duke University School of Law
509,Jennifer,Nou,Univ. of Chicago ,80,77,74,Jennifer Taub,Jennifer Gross,Jennifer Laurin,Vermont Law School,"University of Nevada, Las Vegas, William S. Boyd School of Law",The University of Texas School of Law
510,Ana M.,Novoa,St. Mary's ,56,55,50,Andrea Monroe,Matt Novak,Anna di Robilant,"Temple University, James E. Beasley School of Law",University of Nebraska College of Law,Boston University School of Law
511,D. Carolina,Nunez,Brigham Young ,88,65,65,D. Carolina Núñez,Caroline Young,Caroline Young,"Brigham Young University, J. Reuben Clark Law School",Rutgers Law School,Rutgers Law School
512,Kenneth B.,Nunn,Univ. of Florida ,89,65,65,Kenneth Nunn,Kenneth Ferguson,Kenneth Ferguson,University of Florida Fredric G. Levin College of Law,University of Missouri-Kansas City School of Law,University of Missouri-Kansas City School of Law
513,Jide O.,Nzelibe,Northwestern ,89,89,56,Jide Nzelibe,Jide Nzelibe,Julie Nice,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law,University of San Francisco School of Law
514,Christiana,Ochoa,Ind. Maurer,100,100,76,Christiana Ochoa,Christiana Ochoa,Christian Day,Indiana University Maurer School of Law,Indiana University Maurer School of Law,Syracuse University College of Law
515,Jason,Oh,U.C.L.A. ,100,71,71,Jason Oh,John Orth,John Orth,"University of California, Los Angeles School of Law",University of North Carolina School of Law,University of North Carolina School of Law
516,Paul,Ohm,Georgetown ,100,63,63,Paul Ohm,Paul Campos,Paul Berman,Georgetown University Law Center,University of Colorado Law School,The George Washington University Law School
517,Karl S.,Okamoto,Drexel ,89,52,52,Karl Okamoto,Lisa Ikemoto,Laurel Oates,Drexel University Thomas R. Kline School of Law,"University of California, Davis, School of Law",Seattle University School of Law
518,Jennifer D.,Oliva,W. Va. Univ. ,69,67,67,Jennifer O'Hare,Jennifer Taub,Jennifer Collins,Villanova University Charles Widger School of Law,Vermont Law School,"Southern Methodist University, Dedman School of Law"
519,Mariela,Olivares,Howard ,73,71,64,Michael Olivas,Maria Ontiveros,Maria Marcus,University of Houston Law Center,University of San Francisco School of Law,Fordham University School of Law
520,Michael A.,Olivas,Houston Law Cntr. ,90,69,67,Michael Olivas,Michael Collins,Michael Selmi,University of Houston Law Center,University of Virginia School of Law,The George Washington University Law School
521,Angela L,Onwuachi-Willig,Boston Univ. ,96,53,51,Angela Onwuachi-Willig,Angela Littwin,Angela Carmella,Boston University School of Law,The University of Texas School of Law,Seton Hall University School of Law
522,Daniel R.,Ortiz,Univ. of Va. ,89,71,71,Daniel Ortiz,Daniel Rodriguez,Daniel Martin,University of Virginia School of Law,Northwestern University Pritzker School of Law,"Loyola Law School, Los Angeles"
523,Francesca,Ortiz,South Texas Houston ,71,71,69,Francesco Parisi,Francesco Parisi,Francesca Bignami,University of Minnesota Law School,University of Minnesota Law School,The George Washington University Law School
524,J. Damian,Ortiz,John Marshall ,67,56,55,Daniel Ortiz,Diane Orentlicher,Darian Ibrahim,University of Virginia School of Law,"American University, Washington College of Law",William & Mary Law School
525,Raquel,Ortiz,Roger Williams ,75,64,58,Daniel Ortiz,Paul Kurtz,Laurel Oates,University of Virginia School of Law,University of Georgia School of Law,Seattle University School of Law
526,Janewa,Osei-Tutu,Florida Int’l ,59,53,50,Janet Levit,Jane Stromseth,Manuel Utset,The University of Tulsa College of Law,Georgetown University Law Center,Florida State University College of Law
527,Nancy K.,Ota,Albany ,67,67,64,Nancy Staudt,Nancy Knauer,Nancy King,Washington University in St. Louis School of Law,"Temple University, James E. Beasley School of Law",Vanderbilt University Law School
528,Spencer,Overton,George Washington ,100,57,57,Spencer Overton,Steven Burton,Stephen Alton,The George Washington University Law School,University of Iowa College of Law,Texas A&M University School of Law
529,Traci,Overton,Rutgers ,64,62,58,Spencer Overton,Francis McGovern,Craig Stern,The George Washington University Law School,Duke University School of Law,Regent University School of Law
530,"Cheryl ""Shelly”",Page,Lincoln ,50,50,50,Cheryl Block,Charles Sullivan,Carol Sanger,Washington University in St. Louis School of Law,Seton Hall University School of Law,Columbia Law School
531,Victoria,Palacios,Southern Methodist ,100,77,69,Victoria Palacios,Victoria Plaut,Victoria Nourse,"Southern Methodist University, Dedman School of Law","University of California, Berkeley School of Law",Georgetown University Law Center
532,Sachin S.,Pandya,Connecticut ,90,53,53,Sachin Pandya,Sabrina Safrin,Sabrina Safrin,University of Connecticut School of Law,Rutgers Law School,Rutgers Law School
533,Lynnise E. Phillips,Pantin,Boston Coll. ,50,49,49,Susan Phillips,Lee Epstein,Lance McMillian,Texas A&M University School of Law,Washington University in St. Louis School of Law,Atlanta's John Marshall Law School
534,Rafael I.,Pardo,Emory ,89,60,60,Rafael Pardo,Rachael Salcido,Rachael Salcido,Emory University School of Law,"University of the Pacific, McGeorge School of Law","University of the Pacific, McGeorge School of Law"
535,Kish,Parella,Wash. & Lee ,60,60,59,Michael Colatrella,Michael Colatrella,Richard Carnell,"University of the Pacific, McGeorge School of Law","University of the Pacific, McGeorge School of Law",Fordham University School of Law
536,Samir,Parikh,Lewis & Clark ,100,64,61,Samir Parikh,James Park,Gail Partin,Lewis and Clark Law School,"University of California, Los Angeles School of Law",The Pennsylvania State University – Dickinson Law
537,Eunice,Park,Western state ,61,61,58,Kunal Parker,Hunter Clark,Janice Nadler,University of Miami School of Law,Drake University Law School,Northwestern University Pritzker School of Law
538,James J.,Park,U.C.L.A. ,87,70,69,James Park,James Kwak,James Pfander,"University of California, Los Angeles School of Law",University of Connecticut School of Law,Northwestern University Pritzker School of Law
539,Johnny C.,Parker,Tulsa ,90,72,69,Johnny Parker,J. Parker,John Parry,The University of Tulsa College of Law,Wake Forest University School of Law,Lewis and Clark Law School
540,Radha,Pathak,Whittier ,100,61,58,Radha Pathak,Radhika Rao,Randall Roth,Whittier Law School,"University of California, Hastings College of the Law","University of Hawaii, William S. Richardson School of Law"
541,Elizabeth Hayes,Patterson,Georgetown ,68,67,67,Elizabeth Carter,Elizabeth Winston,Elizabeth Lear,"Louisiana State University, Paul M. Hebert Law Center","The Catholic University of America, Columbus School of Law",University of Florida Fredric G. Levin College of Law
542,Alexander,Pearl,Texas Tech ,77,77,75,Alexander Scherr,Alexander Capron,Alexander Reinert,University of Georgia School of Law,University of Southern California Gould School of Law,Benjamin N. Cardozo School of Law
543,Joyce A. McCray,Pearson,Wash. St. Louis,72,58,54,Joyce Pearson,Joyce McConnell,Jerry Anderson,Washington University in St. Louis School of Law,West Virginia University College of Law,Drake University Law School
544,Kim,Pearson,Gonzaga ,71,67,64,Katherine Pearson,Joyce Pearson,Keith Harrison,The Pennsylvania State University – Dickinson Law,Washington University in St. Louis School of Law,Atlanta's John Marshall Law School
545,Portia,Pedro,Boston Univ. ,64,57,56,Robert Peroni,Brittany Persson,Robert Destro,The University of Texas School of Law,Seton Hall University School of Law,"The Catholic University of America, Columbus School of Law"
546,Destiny,Peery,Northwestern ,59,56,56,Bethany Berger,Wendy Perdue,Leslie Henry,University of Connecticut School of Law,The University of Richmond School of Law,University of Maryland Francis King Carey School of Law
547,Dayla S.,Pepi,St. Mary’s ,56,54,53,Daniel Selmi,Maya Steinitz,Dylan Penningroth,"Loyola Law School, Los Angeles",University of Iowa College of Law,"University of California, Berkeley School of Law"
548,Juan F.,Perea,Loyola Chicago,59,59,59,Susan Freiwald,Joshua Fershee,Joshua Fershee,University of San Francisco School of Law,Creighton University School of Law,Creighton University School of Law
549,LeRoy,Pernell,Florida A&M ,64,57,57,Jeffrey Pennell,Timothy Terrell,Leonard Pertnoy,Emory University School of Law,Emory University School of Law,St. Thomas University School of Law
550,Twila L.,Perry,Rutgers ,88,88,59,Twila Perry,Twila Perry,William Berry,Rutgers Law School,Rutgers Law School,University of Mississippi School of Law
551,Govind,Persad,Denver ,58,56,56,David Pratt,Wendy Perdue,Ronald Brand,Albany Law School,The University of Richmond School of Law,University of Pittsburgh School of Law
552,Robert W. Jr.,Piatt,St. Mary’s ,65,59,59,Robert Blitt,Robert Williams,Robert Percival,University of Tennessee College of Law,Rutgers Law School,University of Maryland Francis King Carey School of Law
553,Tanya,Pierce,Texas A&M ,67,64,62,Tanya Hernandez,Randal Picker,Richard Pierce,Fordham University School of Law,"The University of Chicago, The Law School",The George Washington University Law School
554,Thiadora,Pina,Santa Clara ,58,58,56,Thomas Main,Cara Drinan,Thomas Plank,"University of Nevada, Las Vegas, William S. Boyd School of Law","The Catholic University of America, Columbus School of Law",University of Tennessee College of Law
555,Ngai,Pindell,Nevada Las Vegas,100,62,59,Ngai Pindell,David Pimentel,Gary Pulsinelli,"University of Nevada, Las Vegas, William S. Boyd School of Law",University of Idaho College of Law,University of Tennessee College of Law
556,Victoria,Plaut,UC. Berkeley ,100,77,77,Victoria Plaut,Victoria Palacios,Victor Flatt,"University of California, Berkeley School of Law","Southern Methodist University, Dedman School of Law",University of Houston Law Center
557,Candice T.,Player,Northwestern ,62,62,60,Connie Mayer,Candice Hoke,Janice Nadler,Albany Law School,Cleveland-Marshall College of Law at Cleveland State University,Northwestern University Pritzker School of Law
558,Aparna,Polavarapu,South Carolina ,53,50,50,Christina Ponsa-Kraus,Diana Sclar,Aaron Rappaport,Columbia Law School,Rutgers Law School,"University of California, Hastings College of the Law"
559,Ileana M.,Porras,Miami ,57,57,56,Ellen Marrus,Celestina Contreras,Alejandro Portes,University of Houston Law Center,Texas A&M University School of Law,University of Miami School of Law
560,Karen A.,Porter,Brooklyn ,71,62,62,Katherine Porter,Karen Green,Karen Burke,"University of California, Irvine School of Law",University of Mississippi School of Law,University of Florida Fredric G. Levin College of Law
561,Deborah Waire,Post,Touro ,69,69,69,Deborah Widiss,Deborah DeMott,Deborah Ahrens,Indiana University Maurer School of Law,Duke University School of Law,Seattle University School of Law
562,Catherine,Powell,Fordham ,100,77,76,Catherine Powell,Catharine Wells,Cedric Powell,Fordham University School of Law,Boston College Law School,"University of Louisville, Louis D. Brandeis School of Law"
563,Cedric Merlin,Powell,Louisville ,79,67,61,Cedric Powell,Catherine Powell,Gerald Powell,"University of Louisville, Louis D. Brandeis School of Law",Fordham University School of Law,Baylor University School of Law
564,Karen,Powell,Denver ,75,71,70,Arden Rowell,Catherine Powell,Karen Brown,University of Illinois College of Law,Fordham University School of Law,The George Washington University Law School
565,Patricia H.,Powell,Denver ,73,69,67,Patricia Bellia,Patricia Moore,Patricia Hansen,Notre Dame Law School,St. Thomas University School of Law,The University of Texas School of Law
566,Carla D.,Pratt,Washburn ,64,56,55,Cara Drinan,David Pratt,Katherine Pratt,"The Catholic University of America, Columbus School of Law",Albany Law School,"Loyola Law School, Los Angeles"
567,Harry G.,Prince,UC Hastings,67,62,59,Larry Garvin,Hillary Greene,Larry Gibson,"The Ohio State University, Michael E. Moritz College of Law",University of Connecticut School of Law,University of Maryland Francis King Carey School of Law
568,Victor,Quintanilla,Ind. Maurer,62,61,60,Victoria Plaut,Victoria Sutton,Victor Flatt,"University of California, Berkeley School of Law",Texas Tech University School of Law,University of Houston Law Center
569,Intisar A.,Rabb,Harvard ,89,89,48,Intisar Rabb,Intisar Rabb,Mark Rabil,Harvard Law School,Harvard Law School,Wake Forest University School of Law
570,K. Sabeel,Rahman,Brooklyn ,60,57,57,Daniel Richman,Marcel Kahan,K. Lee Adams,Columbia Law School,New York University School of Law,Atlanta's John Marshall Law School
571,Gowri,Ramachandran,Southwestern ,100,58,53,Gowri Ramachandran,Lori Ringhand,Gregory Magarian,Southwestern Law School,University of Georgia School of Law,Washington University in St. Louis School of Law
572,Jean Teresa,Ramirez,San Diego ,77,69,59,Jean Ramirez,Jorge Ramirez,Jeanne Carriere,University of San Diego School of Law,Texas Tech University School of Law,Tulane University Law School
573,Jorge A.,Ramirez,Texas Tech ,90,71,64,Jorge Ramirez,Jean Ramirez,Jose Alvarez,Texas Tech University School of Law,University of San Diego School of Law,New York University School of Law
574,Steven A.,Ramirez,Loyola Chicago,69,67,62,Jean Ramirez,Steven Ratner,Steven Smith,University of San Diego School of Law,The University of Michigan Law School,University of San Diego School of Law
575,Jaya E.,Ramji-Nogales,Temple ,92,48,47,Jaya Ramji-Nogales,Jean Ramirez,John Ragsdale,"Temple University, James E. Beasley School of Law",University of San Diego School of Law,University of Missouri-Kansas City School of Law
576,Andrea V,Ramos,Southwestern ,72,67,64,Andrea Roth,Andrei Marmor,Andrew Sims,"University of California, Berkeley School of Law",Cornell Law School,Fordham University School of Law
577,Vemellia R.,Randall,Dayton ,53,52,51,Amelia Rinehart,William Ryan,William Marshall,"University of Utah, S. J. Quinney College of Law","American University, Washington College of Law",University of North Carolina School of Law
578,Jayesh,Rathod,American ,100,67,62,Jayesh Rathod,James Fanto,James Redwood,"American University, Washington College of Law",Brooklyn Law School,Albany Law School
579,Teressa E.,Ravenell,Villanova ,91,56,55,Teressa Ravenell,Teresa Phelps,Jessica Mantel,Villanova University Charles Widger School of Law,"American University, Washington College of Law",University of Houston Law Center
580,Meshon T,Rawls,Univ. of Florida ,50,50,50,Shauhin Talesh,I. Nelson Rose,Emerson Tiller,"University of California, Irvine School of Law",Whittier Law School,Northwestern University Pritzker School of Law
581,Shalini,Ray,Alabama ,61,60,58,Shawn Bayern,Brian Ray,Stephanie Tai,Florida State University College of Law,Cleveland-Marshall College of Law at Cleveland State University,University of Wisconsin Law School
582,Rhonda M.,Reaves,Florida A&M ,71,60,57,Rhonda Magee,Richard Revesz,LaVonda Reed,University of San Francisco School of Law,New York University School of Law,Syracuse University College of Law
583,Trevor,Reed,Ariz. state ,57,56,56,Tony Reese,Theodore Ruger,Debora Threedy,"University of California, Irvine School of Law",University of Pennsylvania Law School,"University of Utah, S. J. Quinney College of Law"
584,Teresa J.,Reid,Univ. of Florida ,60,59,55,Teressa Ravenell,Teresa Phelps,Theresa Glennon,Villanova University Charles Widger School of Law,"American University, Washington College of Law","Temple University, James E. Beasley School of Law"
585,Jennifer W.,Reynolds,Oregon ,72,71,68,Jennifer Robbennolt,Glenn Reynolds,Jennifer Hendricks,University of Illinois College of Law,University of Tennessee College of Law,University of Colorado Law School
586,Paula R.,Rhodes,Denver ,62,59,58,Paul Gowder,Paul Mahoney,R. Rogers,University of Iowa College of Law,University of Virginia School of Law,Baylor University School of Law
587,Willy E.,Rice,St. Mary’s ,58,56,54,Polly Price,William Rhee,William Widen,Emory University School of Law,West Virginia University College of Law,University of Miami School of Law
588,L. Song. Cal.,Richardson,Irvine ,86,60,57,L. Song Richardson,Henry Richardson,I. Richard Gershon,"University of California, Irvine School of Law","Temple University, James E. Beasley School of Law",University of Mississippi School of Law
589,Michelle,Rigual,New Mexico ,77,69,69,Michelle Wu,Michelle Simon,Michael Rustad,Georgetown University Law Center,Pace University Elisabeth Haub School of Law,Suffolk University Law School
590,Susanna K.,Ripken,Chapman ,90,64,62,Susanna Ripken,Susan Klein,Susanna Fischer,Chapman University Dale E. Fowler School of Law,The University of Texas School of Law,"The Catholic University of America, Columbus School of Law"
591,Elbert L.,Robertson,Suffolk ,91,61,60,Elbert Robertson,Lindsay Robertson,Christopher Robertson,Suffolk University Law School,University of Oklahoma College of Law,The University of Arizona James E. Rogers College of Law
592,Mildred W.,Robinson,Univ. of Va. ,91,65,62,Mildred Robinson,Zoe Robinson,Paul Robinson,University of Virginia School of Law,DePaul University College of Law,University of Pennsylvania Law School
593,Walter Keith,Robinson,Southern Methodist ,65,65,61,Paul Robinson,Mildred Robinson,Zoe Robinson,University of Pennsylvania Law School,University of Virginia School of Law,DePaul University College of Law
594,William L.,Robinson,Dist. of Columbia ,76,71,70,William Johnson,William Ross,William Rubenstein,Saint Louis University School of Law,"Samford University, Cumberland School of Law",Harvard Law School
595,Usha R.,Rodrigues,Georgia ,90,62,61,Usha Rodrigues,R. Rogers,Daniel Rodriguez,University of Georgia School of Law,Baylor University School of Law,Northwestern University Pritzker School of Law
596,Cristina M.,Rodriguez,Yale ,63,59,59,Usha Rodrigues,Daniel Rodriguez,Daniel Rodriguez,University of Georgia School of Law,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law
597,Eloisa C.,Rodriguez-Dod,Florida Int’l ,59,56,56,Usha Rodrigues,Daniel Rodriguez,Daniel Rodriguez,University of Georgia School of Law,Northwestern University Pritzker School of Law,Northwestern University Pritzker School of Law
598,Luis E.,Rodrignez-Rivera,Puerto Rico ,51,51,50,Luis Fuentes-Rohwer,Luis Fuentes-Rohwer,Daniel Rodriguez,Indiana University Maurer School of Law,Indiana University Maurer School of Law,Northwestern University Pritzker School of Law
599,Jeong-Ho,Rob,Columbia ,56,52,52,Jenny Roberts,John Jacobi,John Drobak,"American University, Washington College of Law",Seton Hall University School of Law,Washington University in St. Louis School of Law
600,Jorge R.,Roig,Touro ,62,58,55,Jorge Ramirez,Joel Rogers,R. Rogers,Texas Tech University School of Law,University of Wisconsin Law School,Baylor University School of Law
601,Daria,Roithmayr,Southern Cal. ,100,64,62,Daria Roithmayr,Barak Richman,David Richards,University of Southern California Gould School of Law,Duke University School of Law,New York University School of Law
602,Maybell,Romero,Northern Illinois ,61,58,57,Maryellen Fullerton,Tom Romero,Michael Sovern,Brooklyn Law School,University of Denver Sturm College of Law,Columbia Law School
603,Victor C.,Romero,Penn stale Law ,62,59,58,Tom Romero,Victor Gold,Victoria Nourse,University of Denver Sturm College of Law,"Loyola Law School, Los Angeles",Georgetown University Law Center
604,Veronica S.,Root,Notre Dame ,65,61,57,Veronica Santarosa,Veronica Martinez,Vernon Smith,The University of Michigan Law School,Notre Dame Law School,Chapman University Dale E. Fowler School of Law
605,Anibal,Rosario Lebron,Howard ,57,54,54,Tanina Rostain,Ronald Rosenberg,Ronald Rosenberg,Georgetown University Law Center,William & Mary Law School,William & Mary Law School
606,Wendy T.,Ross,Texas Tech ,87,56,54,Wendy Ross,Wendy Gordon,Jenny Roberts,Texas Tech University School of Law,Boston University School of Law,"American University, Washington College of Law"
607,Vincent D.,Rougeau,Boston Coll. ,91,58,58,Vincent Rougeau,Vincent Cardi,Vincent Blasi,Boston College Law School,West Virginia University College of Law,Columbia Law School
608,Nantiya,Ruan,Denver ,62,61,61,Tanina Rostain,Nathan Oman,Nathan Oman,Georgetown University Law Center,William & Mary Law School,William & Mary Law School
609,Katheryn,Russell-Brown,Univ. of Florida ,100,63,62,Katheryn Russell-Brown,Kathryn Kelly,Katherine Pearson,University of Florida Fredric G. Levin College of Law,"The Catholic University of America, Columbus School of Law",The Pennsylvania State University – Dickinson Law
610,Christopher J. Jr.,Ryan,Roger Williams ,70,70,70,Christopher Sprigman,Christopher Hanna,Christopher Green,New York University School of Law,"Southern Methodist University, Dedman School of Law",University of Mississippi School of Law
611,Victoria S.,Sahani,Ariz. state ,69,67,62,Victoria Palacios,Victoria Sutton,Victoria Plaut,"Southern Methodist University, Dedman School of Law",Texas Tech University School of Law,"University of California, Berkeley School of Law"
612,Natsu Taylor,Saito,Georgia state ,55,54,53,Margaret Taylor,Taylor Simpson-Wood,Aaron Taylor,Wake Forest University School of Law,Barry University Dwayne O. Andreas School of Law,Saint Louis University School of Law
