Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Bio Law: A Few Thoughts about Altruism and Markets [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Kansas Journal of Law & Public Policy , Vol. 18, Issue 2 (Winter 2009), pp. 208-214","Kansas Journal of Law & Public Policy , ",Vol.  18,2 (Winter 2009),208-214,18 Kan. J.L. & Pub. Pol'y 208 (2008-2009),2,na,8,"Organ Donation, Consent, Health Law, States, Property",4861
"Pregnancy, Poverty and the State [reviews]",Michele Goodwin,"Goodwin, Michele (Cited 420 times); Chemerinsky, Erwin (Cited 6659 times)","Yale Law Journal, Vol. 127, Issue 5 (March 2018), pp. 1270-1335","Yale Law Journal, ",Vol.  127,5 (March 2018),1270-1335,127 Yale L. J. 1270 (2017-2018),2,na,136,"Civil Rights, Pregnancy, Reproduction, Remedies, War, Women, Appropriations, Family Planning, Medical Jurisprudence",4861
Marital Rape: The Long Arch of Sexual Violence against Women and Girls [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","AJIL Unbound, Vol. 109, pp. 326-331","AJIL Unbound, ",Vol.  109,na,326-331,109 AJIL Unbound 326 (2015-2016),1,na,36,"Comparative Law, Criminal Law and Procedure, Domestic Relations, Marital Rape",4861
Georgetown Journal of Gender and the Law Volume XVIII Symposium: Dismantling Reproductive Injustices: The Hyde Amendment & Criminalization of Self-Induced Abortion [comments],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Georgetown Journal of Gender and the Law, Vol. 18, Issue 2 (Summer 2017), pp. 279-282","Georgetown Journal of Gender and the Law, ",Vol.  18,2 (Summer 2017),279-282,18 Geo. J. Gender & L. 279 (2017),1,na,61,"Abortion, Gender, Health Law, Reproduction, Constitutional Law, Supreme Court of the United States, Family Planning, Medicaid",4861
"Challenging the Rhetorical Gag and Trap: Reproductive Capacities, Rights, and the Helms Amendment [article]",Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Northwestern University Law Review, Vol. 112, Issue 6 (2018), pp. 1417-1456","Northwestern University Law Review, ",Vol.  112,6 (2018),1417-1456,112 Nw. U. L. Rev. 1417 (2017-2018),1,na,51,"Gender, Reproduction, Abortion, Family Planning, Health, Public Health, States",4861
The Invisible Classes in High Stakes Reproduction [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Journal of Law, Medicine and Ethics, Vol. 43, Issue 2 (Summer 2015), pp. 289-292","Journal of Law, Medicine and Ethics, ",Vol.  43,2 (Summer 2015),289-292,43 J.L. Med. & Ethics 289 (2015),1,na,1,"Reproduction, Domestic Relations, Law and Society, Abortion",4861
Vulnerable Subjects: Why Does Informed Consent Matter [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Journal of Law, Medicine and Ethics, Vol. 44, Issue 3 (Fall 2016), pp. 371-380","Journal of Law, Medicine and Ethics, ",Vol.  44,3 (Fall 2016),371-380,Full Text Not Currently Available in HeinOnline,1,na,1,"Consent, Informed Consent, Health Law, Medical Jurisprudence, Persons, Weapons",4861
A Few Thoughts on Assisted Reproductive Technology [comments],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Law and Inequality: A Journal of Theory and Practice, Vol. 27, Issue 2 (Summer 2009), pp. 465-480","Law and Inequality: A Journal of Theory and Practice, ",Vol.  27,2 (Summer 2009),465-480,27 Law & Ineq. 465 (2009),1,na,11,"Medical Jurisprudence, Reproductive Technology, Technology, Industry, Regulation, Sexuality and the Law, Law and Society, Reproduction",4861
"Deconstructing Legislative Consent Law: Organ Taking, Racial Profiling & Distributive Justice",Michele Goodwin,"Goodwin, Michele (Cited 420 times)",na,na,na,na,na,6 Va. J.L. & Tech. 2 (2001),na,na,na,na,4861
On the Tenth Anniversary of the Baby Markets Roundtable [comments],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","UC Irvine Law Review, Vol. 7, Issue 3 (December 2017), pp. 505-510","UC Irvine Law Review, ",Vol.  7,3 (December 2017),505-510,7 UC Irvine L. Rev. 505 (2017),na,na,10,"Domestic Relations, Reproduction, Law and Society, Tourism",4861
Troubling Legislative Agendas: Leveraging Women's Health against Women's Reproductive Rights [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Advance: The Journal of the ACS Issue Briefs, Vol. 11, pp. 93-106","Advance: The Journal of the ACS Issue Briefs, ",Vol.  11,na,93-106,11 Advance 93 (2017),na,na,32,"Health, Women, States",4861
"Sex, Drugs, & HIV: Mass Incarceration's Hidden Problem [article]",Michele Goodwin,"Goodwin, Michele (Cited 420 times); Duke, Naomi (Cited 14 times); Allgood, Jaime","Houston Journal of Health Law & Policy, Vol. 16, pp. 1-36","Houston Journal of Health Law & Policy, ",Vol.  16,na,Jan-36,16 Hous. J. Health L. & Pol'y 1 (2016),na,na,19,"Drugs, Medical Jurisprudence, Race and Ethnicity, Sentencing, Sex, Aids, Health Law, Law and Society, Women",4861
If Embryos and Fetuses Have Rights [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Law & Ethics of Human Rights, Vol. 11, Issue 2 (2017), pp. 189-224","Law & Ethics of Human Rights, ",Vol.  11,2 (2017),189-224,Full Text Not Currently Available in HeinOnline,na,na,na,"Medical Jurisprudence, Practice and Procedure, Fetuses and Embryos, Criminal Law and Procedure, Human Rights Law, Reproduction",4861
Whole Woman's Health v. Hellerstedt: The Empirical Case against Trap Laws [comments],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Medical Law Review, Vol. 25, Issue 2 (Spring 2017), pp. 340-351","Medical Law Review, ",Vol.  25,2 (Spring 2017),340-351,Full Text Not Currently Available in HeinOnline,na,na,na,"Health, Due Process, Abortion",4861
Professional Rules and Responsibility: Whose Law [notes],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Michigan Journal of Gender & Law, Vol. 8, Issue 1 (2001), pp. 97-98","Michigan Journal of Gender & Law, ",Vol.  8,1 (2001),97-98,8 Mich. J. Gender & L. 97 (2001-2002),na,na,3,"Administration Law, Air Law and Aviation, Maritime Law, Research and Development, Constitutional Law, Criminal Law and Procedure",4861
American Courts and the Sex Blind Spot: Legitimacy and Representation [article],Michele Goodwin,"Goodwin, Michele (Cited 420 times); Lindsay, Mariah","Fordham Law Review, Vol. 87, Issue 6 (May 2019), pp. 2337-2384","Fordham Law Review, ",Vol.  87,6 (May 2019),2337-2384,87 Fordham L. Rev. 2337 (2018-2019),na,na,na,na,4861
Invisible Women: Mass Incarceration's Forgotten Casualties [reviews],Michele Goodwin,"Goodwin, Michele (Cited 420 times)","Texas Law Review, Vol. 94, Issue 2 (December 2015), pp. 353-386","Texas Law Review, ",Vol.  94,2 (December 2015),353-386,94 Tex. L. Rev. 353 (2015-2016),na,na,25,"Criminal Law and Procedure, Gender, Race and Ethnicity, Sentencing, Legal History, Politics, Food and Drug Law, Law and Society, Taxation-State and Local",4861
Constitutional Gerrymandering against Abortion Rights: NIFLA v. Becerra [article] *new*,Michele Goodwin,"Chemerinsky, Erwin (Cited 6659 times); Goodwin, Michele (Cited 420 times)","New York University Law Review, Vol. 94, Issue 1 (April 2019), pp. 61-124","New York University Law Review, ",Vol.  94,1 (April 2019),61-124,94 N.Y.U. L. Rev. 61 (2019),na,na,na,"Abortion, Constitutional Law, First Amendment, Reproduction, Pregnancy",4861
Theorizing the Charitable Tax Subsidies: The Role of Distributive Justice [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Washington University Law Review, Vol. 87, Issue 3 (2010), pp. 505-566","Washington University Law Review, ",Vol.  87,3 (2010),505-566,87 Wash. U. L. Rev. 505 (2009-2010),45,na,10,"Subsidies, Taxation-Federal Income, Law and Society, Politics, Tax Policy, Taxation-Federal",4193
Generous to a Fault - Fair Shares a Charitable Giving [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Minnesota Law Review, Vol. 93, Issue 1 (November 2008), pp. 165-230","Minnesota Law Review, ",Vol.  93,1 (November 2008),165-230,93 Minn. L. Rev. 165 (2008-2009),29,na,5,"Taxation-Federal Income, Property",4193
Equality of Opportunity and the Charitable Tax Subsidies [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Boston University Law Review, Vol. 91, Issue 2 (March 2011), pp. 601-664","Boston University Law Review, ",Vol.  91,2 (March 2011),601-664,91 B.U. L. Rev. 601 (2011),26,na,23,"Jurisprudence, Law and Society, Subsidies, Taxation-Federal Income, Inheritance, Taxation, Taxation-Federal",4193
Charitable Contributions in an Ideal Estate Tax [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Tax Law Review, Vol. 60, Issue 4 (Summer 2007), pp. 263-322","Tax Law Review, ",Vol.  60,4 (Summer 2007),263-322,60 Tax L. Rev. 263 (2006-2007),26,na,9,"Estates, Nonprofit Organizations, Taxation-Federal, Wills, Philanthropy, Regulation",4193
Libertarianism and the Charitable Tax Subsidies [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Boston College Law Review, Vol. 56, Issue 4 (2015), pp. 1345-1416","Boston College Law Review, ",Vol.  56,4 (2015),1345-1416,56 B.C. L. Rev. 1345 (2015),9,na,18,"Politics, Subsidies, Tax Policy, Taxation-Federal, Law and Society, Taxation-Federal Income",4193
Divide and Conquer: Using an Accessions Tax to Combat Dynastic Wealth Transfers [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Boston College Law Review, Vol. 57, Issue 3 (2016), pp. 913-946","Boston College Law Review, ",Vol.  57,3 (2016),913-946,57 B.C. L. Rev. 913 (2016),6,na,12,"Democracy, State and Local Government Law, Inheritance, Law and Society, Taxation, Taxation-Federal",4193
Charitable Giving and Utilitarianism: Problems and Priorities [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Indiana Law Journal, Vol. 89, Issue 4 (Fall 2014), pp. 1485-1546","Indiana Law Journal, ",Vol.  89,4 (Fall 2014),1485-1546,89 Ind. L.J. 1485 (2014),5,na,23,"Law and Society, Taxation-Federal Income, Politics, Subsidies, Tax Policy, Taxation-Federal",4193
"Autonomy, Uncertainty and the Poor: Reflections on Matthew Harding's Charity Law and the Liberal State [reviews]",Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times)","Australian Journal of Legal Philosophy, Vol. 41, pp. 139-150","Australian Journal of Legal Philosophy, ",Vol.  41,na,139-150,41 Austl. J. Leg. Phil. 139 (2016),na,na,11,"Politics, Religion, Charities, Church and State, Taxation",4193
Atlas Nods: The Libertarian Case for a Basic Income [article],Miranda Perry Fleischer,"Fleischer, Miranda Perry (Cited 147 times); Hemel, Daniel (Cited 40 times)","Wisconsin Law Review, Vol. 2017, Issue 6 (2017), pp. 1189-1272","Wisconsin Law Review, ",Vol.  2017,6 (2017),1189-1272,2017 Wis. L. Rev. 1189 (2017),na,na,48,"Labor Law, Law and Society, Liberty, Regulation, Social Welfare Law, Equity, Gender",4193
Constitutional Decision Rules [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Virginia Law Review, Vol. 90, Issue 1 (March 2004), pp. 1-168","Virginia Law Review, ",Vol.  90,1 (March 2004),1-168,90 Va. L. Rev. 1 (2004),246,na,na,"Constitutional Law, Jurisprudence, Administration Law, Administrative Law, Common Law",248
Originalism is Bunk [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","New York University Law Review , Vol. 84, Issue 1 (April 2009), pp. 1-96","New York University Law Review , ",Vol.  84,1 (April 2009),Jan-96,84 N.Y.U. L. Rev. 1 (2009),176,na,68,"Constitutional Law, Jurisprudence, Legal Analysis and Writing, History, Legal History",248
"Getting off the Dole: Why the Court Should Abandon Its Spending Doctrine, and How a Too-Clever Congress Could Provoke It to Do So [article]",Mitchell N. Berman,"Baker, Lynn A. (Cited 3145 times); Berman, Mitchell N. (Cited 1319 times)","Indiana Law Journal, Vol. 78, Issue 1 (Winter/Spring 2003), pp. 459-542","Indiana Law Journal, ",Vol.  78,1 (Winter/Spring 2003),459-542,78 Ind. L.J. 459 (Winter/Spring 2003),142,4,5,"Congress, Jurisdiction, Law and Society, Constitutional Law",248
Coercion without Baselines: Unconstitutional Conditions in Three Dimensions [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Georgetown Law Journal, Vol. 90, Issue 1 (November 2001), pp. 1-112","Georgetown Law Journal, ",Vol.  90,1 (November 2001),1-112,90 Geo. L.J. 1 (November 2001),121,na,43,"Constitutional Law, Transportation Law, Abortion",248
State Accountability for Violations of Intellectual Property Rights: How to Fix Florida Prepaid (and How Not To) [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times); Reese, R. Anthony (Cited 855 times); Young, Ernest A. (Cited 2834 times)","Texas Law Review, Vol. 79, Issue 5 (April 2001), pp. 1037-1198","Texas Law Review, ",Vol.  79,5 (April 2001),1037-1198,79 Tex. L. Rev. 1037 (April 2001),71,na,8,"Intellectual Property, Intellectual Property Law, Property, Constitutional Law, Immunity, Sovereign Immunity, States",248
Managing Gerrymandering [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Texas Law Review, Vol. 83, Issue 3 (February 2005), pp. 781-854","Texas Law Review, ",Vol.  83,3 (February 2005),781-854,83 Tex L. Rev. 781 (February 2005),61,23,61,"Politics, First Amendment, Government",248
Regulating Violence on Television [article],Mitchell N. Berman,"Edwards, Harry T. (Cited 3588 times); Berman, Mitchell N. (Cited 1319 times)","Northwestern University Law Review, Vol. 89, Issue 4 , pp. 1487-1566","Northwestern University Law Review, ",Vol.  89,4,1487-1566,89 Nw. U. L. Rev. 1487 (1994-1995),56,3,9,"Television, Violence, First Amendment",248
"Justification and Excuse, Law and Morality [article]",Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Duke Law Journal, Vol. 53, Issue 1 (October 2003), pp. 1-78","Duke Law Journal, ",Vol.  53,1 (October 2003),Jan-78,53 Duke L.J. 1 (October 2003),48,na,50,"Biography, Legal Education, Criminal Law and Procedure, Jurisprudence",248
Commercial Speech and the Unconstitutional Conditions Doctrine: A Second Look at the Greater Includes the Lesser [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Vanderbilt Law Review, Vol. 55, Issue 3 (April 2002), pp. 693-796","Vanderbilt Law Review, ",Vol.  55,3 (April 2002),693-796,55 Vand. L. Rev. 693 (2002),40,1,6,"Commercial Speech, Rico, Tourism, Advertising, Gambling, Government",248
Originalism and Its Discontents (Plus a thought or Two about Abortion) [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Constitutional Commentary, Vol. 24, Issue 2 (Summer 2007), pp. 383-404","Constitutional Commentary, ",Vol.  24,2 (Summer 2007),383-404,24 Const. Comment. 383 (2007),38,na,14,"Abortion, Reclamation, Jurisprudence, Legal Analysis and Writing",248
The Evidentiary Theory of Blackmail: Taking Motives Seriously [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","University of Chicago Law Review, Vol. 65, Issue 3 (Summer 1998), pp. 795-878","University of Chicago Law Review, ",Vol.  65,3 (Summer 1998),795-878,65 U. Chi. L. Rev. 795 (Summer 1998),37,na,10,Criminal Law and Procedure,248
On What Distinguishes New Originalism from Old: A Jurisprudential Take [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times); Toh, Kevin (Cited 81 times)","Fordham Law Review, Vol. 82, Issue 2 (November 2013), pp. 545-576","Fordham Law Review, ",Vol.  82,2 (November 2013),545-576,82 Fordham L. Rev. 545 (2013-2014),30,na,24,"Constitutional Law, Supreme Court of the United States, Legal Analysis and Writing",248
The Normative Functions of Coercion Claims [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Legal Theory, Vol. 8, Issue 1 (March 2002), pp. 45-90","Legal Theory, ",Vol.  8,1 (March 2002),45-90,8 LEG 45 (2002),30,na,15,"Economics, Jurisprudence, Constitutional Law, Criminal Law and Procedure, Immigration Law, Psychiatry and Psychology",248
Guillen and Gullibility: Piercing the Surface of Commerce Clause Doctrine [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Iowa Law Review, Vol. 89, Issue 5 (May 2004), pp. 1487-1534","Iowa Law Review, ",Vol.  89,5 (May 2004),1487-1534,89 Iowa L. Rev. 1487 (2003-2004),29,na,3,"Commerce, Commerce Clause, Constitutional Law, Jurisdiction, Federalism",248
Aspirational Rights and the Two-Output Thesis [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Harvard Law Review Forum, Vol. 119, pp. 220-229","Harvard Law Review Forum, ",Vol.  119,na,220-229,119 Harv. L. Rev. F. 220 (2005),25,na,7,"Politics, Constitutional Law, Civil Rights, Redistricting",248
Let 'em Play: A Study in the Jurisprudence of Sport [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Georgetown Law Journal, Vol. 99, Issue 5 (June 2011), pp. 1325-1370","Georgetown Law Journal, ",Vol.  99,5 (June 2011),1325-1370,99 Geo. L.J. 1325 (2010-2011),21,na,9,"Jurisprudence, Miscellaneous, Sports, Hockey, Liability",248
Constitutional Constructions and Constitutional Decision Rules: Thoughts on the Carving of Implementation Space [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Constitutional Commentary, Vol. 27, Issue 1 (Fall 2010), pp. 39-70","Constitutional Commentary, ",Vol.  27,1 (Fall 2010),39-70,27 Const. Comment. 39 (2010-2011),18,na,7,"Legal Analysis and Writing, Constitutional Law, Jurisprudence",248
Provocation Manslaughter as Partial Justification and Partial Excuse [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times); Farrell, Ian P. (Cited 58 times)","William and Mary Law Review, Vol. 52, Issue 4 (March 2011), pp. 1027-1110","William and Mary Law Review, ",Vol.  52,4 (March 2011),1027-1110,52 Wm. & Mary L. Rev. 1027 (2010-2011),17,na,61,"Law Enforcement and Corrections, Manslaughter, Provocation, Criminal Law and Procedure",248
Replay [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","California Law Review, Vol. 99, Issue 6 (2011), pp. 1683-1744","California Law Review, ",Vol.  99,6 (2011),1683-1744,99 Calif. L. Rev. 1683 (2011),11,na,17,"Miscellaneous, Sports, States, Television, Soccer",248
Pluralistic Nonoriginalism and the Combinability Problem [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times); Toh, Kevin (Cited 81 times)","Texas Law Review, Vol. 91, Issue 7 (June 2013), pp. 1739-1784","Texas Law Review, ",Vol.  91,7 (June 2013),1739-1784,91 Tex. L. Rev. 1739 (2012-2013),10,na,7,"Federalism, Constitutional Law, Economics, General",248
On the Moral Structure of White Collar Crime [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Ohio State Journal of Criminal Law, Vol. 5, Issue 1 (Fall 2007), pp. 301-328","Ohio State Journal of Criminal Law, ",Vol.  5,1 (Fall 2007),301-328,5 Ohio St. J. Crim. L. 301 (2007-2008),8,na,35,"Corporations, Criminal Law and Procedure",248
From the Editors [comments],Mitchell N. Berman,"Alexander, Larry (Cited 2631 times); Berman, Mitchell (Cited 11 times); Rosati, Connie (Cited 11 times); Shapiro, Scott (Cited 255 times)","Legal Theory, Vol. 25, Issue 1 (March 2019), pp. 1-2","Legal Theory, ",Vol.  25,1 (March 2019),2-Jan,Full Text Not Currently Available in HeinOnline,7,na,na,"Computer Law, State, The, Law Reform",248
Judge Posner's Simple Law [reviews],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Michigan Law Review, Vol. 113, Issue 6 (April 2015), pp. 777-808","Michigan Law Review, ",Vol.  113,6 (April 2015),777-808,113 Mich. L. Rev. 777 (2014-2015),7,na,20,"Judges, Statutory Interpretation, Judiciary",248
Removal and the Eleventh Amendment: The Case for District Court Remand Discretion to Avoid a Bifurcated Suit [notes],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Michigan Law Review, Vol. 92, Issue 3 (December 1993), pp. 683-741","Michigan Law Review, ",Vol.  92,3 (December 1993),683-741,92 Mich. L. Rev. 683 (1993-1994),7,na,1,"Constitutional Law, Eleventh Amendment, Jurisdiction",248
Meta-Blackmail and the Evidentiary Theory: Still Taking Motives Seriously [notes],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Georgetown Law Journal, Vol. 94, Issue 3 (March 2006), pp. 787-812","Georgetown Law Journal, ",Vol.  94,3 (March 2006),787-812,94 Geo. L.J. 787 (March 2006),5,na,3,"Criminal Law and Procedure, Law and Society",248
From the Editors [notes],Mitchell N. Berman,"Alexander, Larry (Cited 2631 times); Berman, Mitchell (Cited 11 times); Rosati, Connie (Cited 11 times); Shapiro, Scott (Cited 255 times)","Legal Theory, Vol. 24, Issue 1 (March 2018), pp. 1-2","Legal Theory, ",Vol.  24,1 (March 2018),2-Jan,Full Text Not Currently Available in HeinOnline,4,na,na,"Research, Literature, South Africa",248
"Coercion, Compulsion, and the Medicaid Expansion: A Study in the Doctrine of Unconstitutional Conditions [article]",Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Texas Law Review, Vol. 91, Issue 6 (May 2013), pp. 1283-1348","Texas Law Review, ",Vol.  91,6 (May 2013),1283-1348,91 Tex. L. Rev. 1283 (2012-2013),4,na,2,"Jurisdiction, Military, War and Peace, Torts, Human Rights Law, International Law, Criminal Law and Procedure",248
Why Sport Illuminates Law (and Vice Versa) [article] *new*,Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","New York Law School Law Review, Vol. 63, Issue 2 (2018-2019), pp. 235-250","New York Law School Law Review, ",Vol.  63,2 (2018-2019),235-250,63 N.Y. L. Sch. L. Rev. 235 (2018-2019),4,na,na,na,248
Our Principled Constitution [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","University of Pennsylvania Law Review, Vol. 166, Issue 6 (May 2018), pp. 1325-1414","University of Pennsylvania Law Review, ",Vol.  166,6 (May 2018),1325-1414,166 U. Pa. L. Rev. 1325 (2017-2018),2,na,86,"Jurisprudence, Supreme Court of the United States, Violence",248
The Tragedy of Justice Scalia [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Michigan Law Review, Vol. 115, Issue 6 (April 2017), pp. 783-808","Michigan Law Review, ",Vol.  115,6 (April 2017),783-808,115 Mich. L. Rev. 783 (2016-2017),2,na,22,"Biography, Constitutional Law, Judges, Jurisprudence",248
Abuse of Property Right without Political Foundations: A Response to Katz [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Yale Law Journal Forum, Vol. 124, pp. 42-55","Yale Law Journal Forum, ",Vol.  124,na,42-55,124 Yale L.J. F. 42 (2014-2015),2,na,4,"Property, Oil and Gas, Taxation, Mineral Resources, Oil, Gas and Mineral, Ownership",248
Symposium Foreword [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Tulsa Law Review, Vol. 44, Issue 3 (Spring 2009), pp. 467-474","Tulsa Law Review, ",Vol.  44,3 (Spring 2009),467-474,44 Tulsa L. Rev. 467 (2008-2009),1,na,na,"Judges, States, Education, Parents, Schools",248
Some Skepticism about Skepticism: A Comment on Katz [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","University of Pennsylvania Law Review Online, Vol. 163, pp. 345-354","University of Pennsylvania Law Review Online, ",Vol.  163,na,345-354,163 U. Pa. L. Rev. Online 345 (2014-2015),na,na,na,"Consent, Research, Parents, Evidence, Human Experimentation",248
Kennedy's Legacy: A Principled Justice [article],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times); Peters, David","Hastings Constitutional Law Quarterly, Vol. 46, Issue 2 (Winter 2019), pp. 311-384","Hastings Constitutional Law Quarterly, ",Vol.  46,2 (Winter 2019),311-384,46 Hastings Const. L.Q. 311 (2018-2019),na,na,17,"Supreme Court of the United States, Jurisprudence, Property, Environment, Judges, Jurisdiction, States",248
Promoting Values: A Comment on Catalyzing Fans [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Harvard Journal of Sports & Entertainment Law, Vol. 6, Issue 1 (Winter 2015), pp. 179-186","Harvard Journal of Sports & Entertainment Law, ",Vol.  6,1 (Winter 2015),179-186,6 Harv. J. Sports & Ent. L. 179 (2015),na,na,2,"Money, Sports, Economics, Law and Economics, Military, War and Peace",248
"Attempts, in Language and in Law [article]",Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Jerusalem Review of Legal Studies, Vol. 6, Issue 1 (December 2012), pp. 1-19","Jerusalem Review of Legal Studies, ",Vol.  6,1 (December 2012),19-Jan,6 Jrslm. Rev. Legal Stud. 1 (2012),na,na,2,"Corporations, Criminal Law and Procedure, Jurisprudence, Law and Society",248
Symposium: Punishment and Culpability: Introduction [comments],Mitchell N. Berman,"Berman, Mitchell N. (Cited 1319 times)","Ohio State Journal of Criminal Law, Vol. 9, Issue 2 (Spring 2012), pp. 441-448","Ohio State Journal of Criminal Law, ",Vol.  9,2 (Spring 2012),441-448,9 Ohio St. J. Crim. L. 441 (2011-2012),na,na,3,"Law Enforcement and Corrections, Capital Punishment, Criminal Law and Procedure, Juveniles, Mentally Retarded, Jurisprudence",248
Making Deals in Court-Connected Mediation: What's Justice Got To Do with It [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Washington University Law Quarterly, Vol. 79, Issue 3 (2001), pp. 787-862","Washington University Law Quarterly, ",Vol.  79,3 (2001),787-862,79 Wash. U. L. Q. 787 (2001),191,na,70,"Dogs, General, Social Justice, Self-Determination",4806
The Thinning Vision of Shelf-Determination in Court-Connected Mediation: The Inevitable Price of Institutionalization [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Harvard Negotiation Law Review, Vol. 6, pp. 1-96","Harvard Negotiation Law Review, ",Vol.  6,na,Jan-96,6 Harv. Negot. L. Rev. 1 (2001),190,na,98,"Legal Profession, International Law, Dispute Resolution",4806
Is That All There Is: The Problem in Court-Oriented Mediation [article],Nancy Welsh,"Riskin, Leonard L. (Cited 1331 times); Welsh, Nancy A. (Cited 996 times)","George Mason Law Review, Vol. 15, Issue 4 (June 2008), pp. 863-932","George Mason Law Review, ",Vol.  15,4 (June 2008),863-932,15 Geo. Mason L. Rev. 863 (2007-2008),72,na,39,"Juveniles, Arbitration, International Arbitration, Rule of Law",4806
Stepping Back through the Looking Glass: Real Conversations with Real Disputants about Institutionalized Mediation and Its Value [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Ohio State Journal on Dispute Resolution, Vol. 19, Issue 2 (2004), pp. 573-678","Ohio State Journal on Dispute Resolution, ",Vol.  19,2 (2004),573-678,19 Ohio St. J. on Disp. Resol. 573 (2003-2004),63,na,36,"Education, Regulation, Confidentiality, Consent, Informed Consent",4806
Disputants' Decision Control in Court-Connected Mediation: A Hollow Promise without Procedural Justice [article],Nancy Welsh,"Welsh, Nancy A. (Cited 996 times)","Journal of Dispute Resolution, Vol. 2002, Issue 1 (2002), pp. 179-192","Journal of Dispute Resolution, ",Vol.  2002,1 (2002),179-192,2002 J. Disp. Resol. 179 (2002),61,na,37,"International Law, Courts, Practice and Procedure, Dispute Resolution",4806
Look Before You Leap And Keep on Looking: Lessons from the Institutionalization of Court-Connected Mediation [comments],Nancy Welsh,"McAdoo, Bobbi (Cited 180 times); Welsh, Nancy A. (Cited 996 times)","Nevada Law Journal, Vol. 5, Issue 2 (Winter 2004-2005), pp. 399-432","Nevada Law Journal, ",Vol.  5,2 (Winter 2004-2005),399-432,5 Nev. L.J. 399 (2004-2005),50,na,22,"Judges, Law and Society, Courts, Minorities",4806
